ax,ay,az,gx,gy,gz
0.59,0.78,-0.04,1.46,-20.63,-9.58
0.57,0.79,-0.02,4.52,-4.03,-5.68
0.62,0.76,0.05,5.43,6.96,-3.17
0.64,0.76,0.06,5.0,11.05,-2.75
0.65,0.75,0.05,3.97,5.98,-2.56
0.63,0.75,-0.0,2.62,-0.43,-2.62
0.62,0.76,-0.01,2.56,-8.0,-4.09
0.59,0.77,0.02,3.17,-7.51,-3.54
0.6,0.77,0.03,3.23,-0.18,-0.18
0.62,0.76,0.01,3.05,4.88,2.81
0.65,0.76,-0.01,3.05,8.85,3.91
0.68,0.76,-0.0,2.87,2.01,2.93
0.64,0.77,0.03,1.16,-5.62,1.46
0.6,0.77,0.04,-1.95,-3.23,2.14
0.6,0.76,0.02,-1.22,2.26,3.72
0.64,0.77,0.02,0.24,4.88,3.54
0.67,0.79,0.02,0.98,2.93,3.72
0.65,0.8,-0.01,0.18,2.32,4.64
0.64,0.78,-0.02,0.79,-2.08,5.74
0.64,0.77,-0.0,0.98,-7.26,4.64
0.62,0.78,0.04,-0.06,-11.66,3.3
0.6,0.79,0.08,-2.44,-8.79,2.62
0.61,0.78,0.06,-2.62,-3.97,3.3
0.63,0.78,0.02,-1.89,-5.86,3.11
0.61,0.8,-0.04,-1.59,-14.22,0.43
0.58,0.81,-0.02,-0.85,-22.64,-3.17
0.56,0.79,0.03,-0.24,-16.48,-2.81
0.57,0.78,0.05,0.61,-1.89,-0.79
0.63,0.77,0.05,1.04,-1.71,-0.92
0.64,0.77,0.04,1.59,-5.07,-1.83
0.63,0.79,0.03,1.83,-5.92,-1.83
0.63,0.78,0.04,1.34,-1.4,-0.18
0.64,0.77,0.05,-0.55,4.52,1.53
0.63,0.77,0.06,-1.1,3.54,1.34
0.63,0.77,0.03,-1.04,1.22,0.85
0.62,0.77,-0.0,-0.55,-2.08,0.37
0.61,0.78,-0.01,-0.92,-1.71,0.67
0.62,0.78,0.02,-1.71,2.44,2.87
0.63,0.77,0.04,-1.53,4.58,3.54
0.63,0.77,0.03,-1.1,5.37,3.36
0.64,0.77,0.03,-0.12,-0.37,2.62
0.62,0.79,0.03,-0.18,-4.7,1.59
0.6,0.79,0.04,2.08,-2.2,1.89
0.61,0.78,0.03,2.87,1.77,2.81
0.61,0.77,0.02,0.31,-3.36,0.85
0.62,0.78,0.02,-1.4,-9.77,-0.67
0.62,0.78,0.01,-2.38,-15.32,-1.16
0.62,0.78,0.01,-2.01,-21.73,-1.53
0.61,0.8,0.04,-1.89,-21.36,-1.53
0.61,0.79,0.06,-2.14,-15.44,0.24
0.62,0.78,0.09,-2.81,-13.0,0.79
0.64,0.78,0.09,-5.0,-14.28,-0.67
0.6,0.78,0.04,-5.31,-19.23,-1.16
0.54,0.79,0.03,-4.46,-18.25,-3.97
0.52,0.79,0.01,-3.17,-7.2,-3.36
0.57,0.79,0.01,0.43,11.9,-0.55
0.69,0.76,0.03,2.01,11.66,-0.73
0.71,0.77,0.03,1.1,-0.61,-0.24
0.64,0.77,0.05,-0.49,-7.26,0.0
0.61,0.77,0.07,-1.71,-11.23,-0.43
0.61,0.77,0.08,-0.49,-8.24,0.31
0.61,0.78,0.06,0.43,-6.04,0.49
0.6,0.79,0.05,0.61,-11.41,-2.5
0.63,0.77,0.05,-0.85,-16.05,-3.42
0.63,0.77,0.06,-3.11,-19.9,-3.05
0.62,0.78,0.05,-4.94,-22.58,-2.38
0.6,0.78,0.04,-5.13,-19.9,-1.65
0.59,0.78,0.03,-4.33,-12.15,0.06
0.6,0.77,0.05,-3.05,-11.96,-0.85
0.61,0.77,0.07,-1.1,-18.25,-3.05
