ax,ay,az,gx,gy,gz
0.63,0.73,0.21,7.02,2.14,5.31
0.63,0.73,0.21,5.68,8.12,6.1
0.62,0.73,0.22,5.0,8.97,6.41
0.62,0.73,0.23,4.27,7.51,5.43
0.65,0.74,0.22,3.6,7.32,5.25
0.65,0.74,0.2,2.56,7.45,5.49
0.63,0.74,0.18,1.53,8.12,5.62
0.61,0.74,0.18,1.83,10.93,5.43
0.62,0.74,0.19,1.95,18.31,5.49
0.65,0.72,0.19,1.83,17.21,5.43
0.64,0.72,0.2,1.59,13.85,4.88
0.65,0.73,0.22,0.55,15.56,4.46
0.66,0.73,0.21,-0.73,16.72,4.88
0.66,0.73,0.19,-3.3,5.19,1.71
0.62,0.74,0.18,-3.66,1.65,0.37
0.63,0.74,0.19,-3.66,3.78,1.46
0.65,0.74,0.19,-3.66,2.69,1.16
0.65,0.74,0.18,-3.72,0.85,0.67
0.66,0.74,0.18,-4.46,-1.77,1.22
0.65,0.74,0.17,-4.64,-5.07,0.49
0.64,0.74,0.16,-5.43,-8.91,-0.55
0.63,0.74,0.16,-5.37,-7.93,0.18
0.62,0.74,0.16,-4.27,-2.56,0.06
0.63,0.75,0.19,-3.17,1.59,0.31
0.67,0.74,0.19,-0.61,2.5,0.0
0.68,0.74,0.17,-0.85,-1.1,0.37
0.66,0.74,0.18,-1.04,-4.27,1.28
0.65,0.74,0.18,-0.85,-5.13,2.26
0.67,0.74,0.19,-1.04,-4.46,2.62
0.69,0.74,0.18,-1.53,-11.29,2.56
0.61,0.75,0.17,-2.99,-16.24,2.08
0.59,0.75,0.18,-3.42,-8.12,2.62
0.62,0.74,0.2,-2.32,1.53,4.15
0.66,0.74,0.19,-1.28,9.46,5.49
0.68,0.74,0.18,-1.83,5.8,5.55
0.66,0.75,0.19,-2.75,0.85,5.49
0.64,0.75,0.19,-4.52,-4.88,5.55
0.63,0.75,0.21,-5.07,-5.62,5.8
0.63,0.75,0.2,-5.86,-1.89,5.92
0.62,0.75,0.17,-6.1,0.67,6.59
0.63,0.75,0.16,-6.53,0.61,6.71
0.63,0.75,0.15,-6.9,-1.77,6.96
0.62,0.75,0.16,-7.26,-3.66,7.14
0.62,0.76,0.18,-8.61,-1.71,7.87
0.6,0.75,0.2,-9.4,0.31,8.12
0.6,0.75,0.19,-9.83,5.62,7.93
0.63,0.76,0.17,-9.58,8.12,8.61
0.67,0.77,0.14,-9.22,8.06,8.91
0.68,0.77,0.11,-9.89,-8.36,7.81
0.55,0.78,0.12,-10.07,-14.4,6.59
0.56,0.78,0.14,-8.91,-1.53,8.0
0.65,0.76,0.17,-9.03,3.72,9.4
0.66,0.78,0.16,-9.03,2.32,8.91
0.64,0.78,0.15,-8.85,-10.5,6.65
0.56,0.78,0.14,-8.73,-15.01,5.49
0.56,0.77,0.15,-6.53,-13.37,3.54
0.58,0.77,0.16,-5.74,-6.29,3.91
0.6,0.78,0.16,-5.92,4.76,6.71
0.63,0.79,0.15,-5.8,3.11,6.96
0.63,0.8,0.15,-4.33,-4.39,5.86
0.61,0.8,0.16,-3.72,-7.75,5.25
0.53,0.8,0.18,-2.32,-8.91,3.78
0.54,0.8,0.16,4.88,5.25,3.36
0.63,0.77,0.09,7.26,12.63,5.31
0.63,0.77,0.07,7.69,5.13,6.16
0.57,0.79,0.13,6.59,-2.26,5.0
0.55,0.79,0.17,5.13,-5.62,4.09
0.55,0.79,0.2,4.52,-1.59,1.71
0.58,0.78,0.17,5.92,2.38,0.85
0.61,0.78,0.12,7.93,3.78,1.4
