ax,ay,az,gx,gy,gz
0.58,0.78,-0.11,-2.14,-6.59,-1.59
0.59,0.78,-0.1,-2.08,-4.33,-1.71
0.6,0.77,-0.1,-1.65,-1.83,-1.46
0.59,0.78,-0.09,-1.89,-2.69,-1.83
0.59,0.78,-0.09,-2.81,-5.0,-3.17
0.62,0.78,-0.08,-2.69,-6.65,-2.75
0.62,0.78,-0.09,-2.87,-9.77,-2.99
0.6,0.79,-0.09,-2.62,-7.81,-2.5
0.6,0.79,-0.1,-2.01,-3.3,-0.98
0.59,0.79,-0.12,-0.79,5.98,1.53
0.6,0.78,-0.12,0.43,8.61,2.5
0.61,0.76,-0.12,2.81,7.02,2.38
0.6,0.76,-0.11,2.44,1.89,0.55
0.59,0.77,-0.1,1.28,-3.48,0.0
0.61,0.78,-0.09,1.4,-0.73,0.98
0.61,0.78,-0.09,1.65,3.05,1.4
0.6,0.78,-0.1,1.4,4.52,0.73
0.6,0.79,-0.09,0.92,2.56,0.0
0.59,0.79,-0.09,1.16,1.1,-0.12
0.59,0.79,-0.09,1.59,2.56,-0.18
0.6,0.79,-0.09,1.83,4.33,0.12
0.61,0.79,-0.09,1.28,5.13,0.79
0.61,0.79,-0.1,1.16,4.58,0.55
0.62,0.79,-0.1,1.71,3.72,1.04
0.62,0.79,-0.1,2.08,2.01,1.4
0.61,0.79,-0.11,2.62,-2.44,0.37
0.59,0.79,-0.11,2.08,-2.08,0.0
0.59,0.78,-0.11,0.49,2.5,1.1
0.6,0.78,-0.1,0.12,4.39,1.16
0.6,0.79,-0.09,-0.49,4.94,0.92
0.6,0.79,-0.09,-2.56,2.56,0.49
0.59,0.79,-0.09,-3.05,1.83,-0.06
0.6,0.79,-0.09,-2.2,3.23,0.31
0.61,0.78,-0.11,-1.28,3.11,0.85
0.61,0.78,-0.1,-0.43,1.28,0.06
0.59,0.79,-0.09,-0.37,2.2,0.12
0.59,0.78,-0.1,-0.92,5.68,0.73
0.59,0.78,-0.11,-1.1,5.86,0.55
0.59,0.79,-0.12,-0.12,2.99,0.31
0.6,0.79,-0.11,-0.06,1.4,0.06
0.59,0.79,-0.1,-0.49,0.98,-0.12
0.59,0.79,-0.1,-0.49,4.09,0.43
0.61,0.79,-0.11,0.12,4.64,0.92
0.61,0.79,-0.11,0.98,-0.73,-0.85
0.58,0.79,-0.1,1.34,-2.32,-2.14
0.59,0.79,-0.1,2.01,-0.79,-2.32
0.61,0.79,-0.11,2.32,1.89,-0.43
0.61,0.78,-0.1,2.01,-0.49,-0.43
0.61,0.78,-0.09,1.83,-4.33,-0.85
0.6,0.78,-0.11,2.44,-2.69,-0.61
0.59,0.78,-0.12,3.36,2.2,0.12
0.59,0.79,-0.12,3.54,2.38,-0.06
0.58,0.79,-0.12,3.23,1.83,-0.37
0.58,0.79,-0.1,2.14,4.03,0.12
0.59,0.78,-0.08,2.2,6.71,0.18
0.61,0.78,-0.08,2.01,5.98,-1.34
0.62,0.78,-0.1,1.53,2.93,-1.89
0.61,0.78,-0.11,1.22,0.12,-1.95
0.6,0.78,-0.13,0.79,-3.42,-1.46
0.59,0.78,-0.13,0.61,-4.09,-1.34
0.58,0.78,-0.12,-0.37,-3.54,-1.28
0.59,0.78,-0.08,-1.22,-2.2,-1.34
0.6,0.78,-0.08,-2.93,0.98,-1.89
0.6,0.79,-0.09,-2.93,2.08,-2.08
0.62,0.79,-0.1,-1.89,2.99,-1.53
0.64,0.78,-0.12,-2.5,1.65,-1.04
0.62,0.78,-0.13,-3.97,-3.48,-0.67
0.59,0.79,-0.12,-3.85,-4.09,-0.61
0.58,0.78,-0.11,-3.23,-2.56,-0.24
0.58,0.78,-0.1,-1.34,1.83,0.18
