ax,ay,az,gx,gy,gz
0.78,0.58,0.19,-5.25,3.91,2.69
0.78,0.58,0.19,-6.71,7.81,3.42
0.79,0.58,0.19,-8.42,12.45,4.15
0.82,0.57,0.18,-13.43,17.15,5.13
0.83,0.57,0.16,-15.44,14.47,4.21
0.83,0.57,0.13,-18.43,7.2,3.54
0.81,0.58,0.11,-19.35,6.1,4.76
0.8,0.58,0.12,-20.45,8.91,6.04
0.79,0.58,0.12,-21.24,11.96,6.16
0.79,0.58,0.1,-23.07,17.33,6.47
0.81,0.58,0.09,-23.44,18.19,6.77
0.82,0.58,0.06,-23.56,17.94,7.2
0.82,0.59,0.05,-24.41,16.85,8.54
0.81,0.59,0.08,-25.51,17.7,9.4
0.81,0.59,0.07,-27.89,17.21,9.22
0.81,0.59,0.03,-27.59,15.99,8.67
0.81,0.59,0.02,-27.16,15.38,8.85
0.8,0.6,0.03,-28.38,15.93,10.86
0.79,0.6,0.06,-29.66,17.21,11.47
0.79,0.59,0.08,-34.36,19.29,11.72
0.79,0.59,0.08,-37.9,17.52,10.74
0.79,0.59,0.05,-41.38,8.67,7.2
0.78,0.6,-0.03,-40.77,6.47,6.96
0.78,0.6,-0.04,-40.1,8.0,8.67
0.76,0.61,-0.02,-41.02,16.36,12.27
0.75,0.6,0.03,-42.97,20.75,12.45
0.77,0.59,0.05,-48.95,22.34,11.05
0.81,0.59,-0.0,-50.96,17.27,9.4
0.8,0.6,-0.06,-51.21,11.11,7.51
0.78,0.61,-0.1,-50.6,6.71,8.12
0.76,0.61,-0.09,-52.06,7.39,10.19
0.74,0.61,-0.07,-56.52,8.06,10.44
0.75,0.6,-0.06,-58.23,8.42,9.16
0.76,0.6,-0.11,-58.72,8.36,8.06
0.77,0.6,-0.16,-56.52,6.16,7.32
0.74,0.61,-0.14,-57.07,6.47,9.03
0.72,0.6,-0.11,-60.85,11.54,11.72
0.76,0.58,-0.12,-62.62,12.08,9.89
0.8,0.56,-0.14,-66.71,1.22,4.94
0.81,0.57,-0.2,-68.24,-5.55,3.66
0.78,0.59,-0.24,-68.48,-9.09,3.97
0.72,0.6,-0.28,-66.16,-7.93,7.45
0.7,0.6,-0.27,-64.88,-5.55,8.79
0.71,0.59,-0.25,-63.6,4.27,9.89
0.74,0.58,-0.27,-62.5,10.44,10.31
0.76,0.59,-0.31,-54.87,16.17,8.54
0.76,0.6,-0.35,-51.57,16.42,7.81
0.74,0.6,-0.33,-51.94,13.43,10.25
0.71,0.57,-0.26,-53.65,9.46,9.64
0.7,0.56,-0.28,-53.53,-1.83,3.48
0.68,0.58,-0.38,-50.17,-6.47,-0.12
0.66,0.59,-0.42,-45.84,-6.9,-2.2
0.63,0.6,-0.43,-38.94,10.01,-0.85
0.63,0.58,-0.39,-37.17,23.01,0.31
0.68,0.56,-0.36,-38.15,39.98,1.1
0.78,0.54,-0.38,-39.43,38.45,0.49
0.8,0.55,-0.45,-34.0,20.2,-4.7
0.78,0.58,-0.53,-29.42,12.57,-5.74
0.75,0.58,-0.52,-26.79,10.19,-3.54
0.72,0.57,-0.48,-27.28,17.09,2.01
0.73,0.55,-0.41,-27.53,20.39,2.44
0.76,0.55,-0.43,-22.95,13.12,-0.06
0.77,0.57,-0.55,-17.82,4.82,-2.2
0.75,0.58,-0.59,-12.51,-0.55,-3.11
0.73,0.58,-0.59,-5.86,4.82,0.92
0.7,0.56,-0.52,-4.27,10.99,3.42
0.71,0.56,-0.49,0.37,14.1,2.69
0.75,0.56,-0.5,4.09,9.22,-0.06
0.75,0.56,-0.52,12.88,-3.78,-4.03
0.73,0.57,-0.55,16.91,-6.96,-3.91
