ax,ay,az,gx,gy,gz
0.51,0.8,-0.22,-4.64,12.15,-0.85
0.55,0.79,-0.17,-4.15,15.32,0.49
0.55,0.8,-0.14,-4.94,32.23,3.42
0.57,0.82,-0.19,-2.5,45.1,4.21
0.6,0.82,-0.21,2.44,50.05,5.13
0.62,0.8,-0.19,1.4,43.15,6.29
0.59,0.8,-0.16,-2.81,34.3,4.33
0.58,0.8,-0.12,-4.52,30.4,1.95
0.57,0.8,-0.14,-6.04,22.4,-0.49
0.53,0.79,-0.17,-6.16,-5.43,-7.81
0.5,0.81,-0.23,-5.25,-16.97,-10.5
0.54,0.82,-0.24,-3.91,-16.91,-7.51
0.53,0.8,-0.28,-2.75,-6.29,-2.44
0.52,0.79,-0.29,1.95,19.65,4.52
0.55,0.77,-0.24,2.2,25.7,5.07
0.56,0.77,-0.21,0.79,20.39,4.33
0.55,0.78,-0.19,0.31,13.73,2.81
0.55,0.79,-0.2,-0.12,7.45,0.55
0.57,0.8,-0.21,-0.55,-2.01,-0.24
0.57,0.8,-0.21,-0.37,-6.41,0.49
0.56,0.8,-0.21,-0.06,-14.16,0.06
0.55,0.79,-0.19,-0.12,-15.56,0.06
0.55,0.79,-0.17,-1.71,-12.02,2.32
0.54,0.8,-0.17,-2.56,-8.91,2.81
0.55,0.8,-0.18,-2.75,-6.41,2.5
0.57,0.81,-0.19,-2.62,-7.02,2.56
0.55,0.81,-0.19,-3.36,-6.1,1.89
0.54,0.82,-0.18,-3.72,-3.54,1.89
0.55,0.81,-0.18,-3.6,-0.73,2.62
0.57,0.81,-0.19,-2.87,0.43,3.97
0.56,0.79,-0.21,-3.3,-1.59,2.5
0.56,0.8,-0.22,-4.82,-6.47,0.85
0.53,0.81,-0.2,-5.13,-6.53,2.2
0.53,0.81,-0.2,-4.76,-1.77,2.81
0.58,0.8,-0.22,-3.78,-0.73,2.81
0.59,0.8,-0.23,-3.3,-8.0,1.95
0.54,0.8,-0.24,-3.17,-12.08,0.73
0.5,0.81,-0.23,-2.32,-7.87,-1.04
0.49,0.81,-0.17,-3.05,-1.89,-1.1
0.51,0.81,-0.15,-4.39,1.83,-0.67
0.53,0.8,-0.16,-3.91,-0.37,-5.19
0.59,0.81,-0.25,-1.83,-1.71,-7.57
0.62,0.82,-0.28,2.56,-3.54,-1.53
0.55,0.8,-0.25,2.75,-6.29,0.06
0.49,0.79,-0.18,0.37,-8.12,-6.35
0.46,0.8,-0.08,-0.31,-4.46,-9.95
0.55,0.8,-0.12,5.98,-7.57,-12.88
0.79,0.8,-0.31,8.73,-23.56,-10.01
0.78,0.81,-0.36,9.89,-66.77,-1.71
0.55,0.8,-0.32,9.58,-79.04,-2.56
0.46,0.8,-0.25,7.57,-66.16,-6.84
0.48,0.77,-0.1,6.1,-52.61,-6.04
0.53,0.75,-0.07,3.17,-51.7,-8.61
0.62,0.78,-0.11,2.69,-61.58,-12.08
0.62,0.81,-0.14,2.5,-69.21,-13.73
0.61,0.82,-0.16,2.14,-63.66,-8.79
0.58,0.8,-0.13,2.56,-56.7,-5.86
0.58,0.8,-0.1,6.1,-49.8,-4.82
0.58,0.78,-0.07,7.87,-47.3,-4.7
0.57,0.77,-0.04,8.06,-43.15,-3.97
0.6,0.78,0.03,3.3,-35.83,-3.91
0.62,0.78,0.02,0.98,-34.79,-4.21
0.61,0.78,-0.05,1.89,-30.52,-3.85
0.56,0.79,-0.15,4.27,-25.33,-3.05
0.56,0.79,-0.1,5.43,-13.06,-2.2
0.6,0.78,0.01,3.85,-7.93,-1.71
0.61,0.76,-0.01,1.83,-0.37,1.1
0.58,0.76,-0.06,4.7,9.64,0.92
