ax,ay,az,gx,gy,gz
0.55,0.82,-0.21,-3.11,-61.4,-5.8
0.56,0.8,-0.19,-3.85,-61.4,-5.8
0.56,0.8,-0.16,-6.16,-60.36,-2.93
0.53,0.81,-0.13,-5.98,-58.23,-2.01
0.52,0.81,-0.13,-4.27,-47.79,-2.93
0.59,0.81,-0.15,-3.48,-43.95,-2.08
0.6,0.81,-0.17,-3.23,-45.1,-1.22
0.59,0.81,-0.18,-3.54,-55.97,-2.44
0.56,0.81,-0.19,-2.99,-59.14,-2.56
0.55,0.81,-0.17,-1.53,-55.66,-1.28
0.52,0.8,-0.11,-1.71,-50.11,-1.1
0.53,0.8,-0.09,-2.62,-40.16,-1.28
0.6,0.8,-0.07,-3.11,-41.14,-2.14
0.61,0.8,-0.08,-4.09,-54.57,-4.15
0.57,0.82,-0.1,-3.66,-59.51,-4.39
0.55,0.82,-0.1,-2.14,-53.71,-3.11
0.55,0.82,-0.09,-1.59,-46.57,-1.83
0.54,0.81,-0.08,-0.18,-35.16,-0.43
0.56,0.8,-0.07,0.55,-31.74,-0.79
0.58,0.8,-0.05,-0.24,-31.37,-2.5
0.57,0.8,-0.05,-1.1,-33.2,-3.23
0.58,0.8,-0.06,-0.67,-35.46,-4.58
0.59,0.81,-0.06,0.12,-35.71,-5.0
0.59,0.81,-0.06,1.28,-33.51,-3.6
0.57,0.81,-0.04,1.22,-30.58,-2.75
0.57,0.8,-0.02,0.49,-25.94,-2.62
0.59,0.79,-0.01,0.43,-27.1,-3.3
0.6,0.79,-0.02,0.79,-33.45,-4.94
0.58,0.8,-0.03,1.1,-33.51,-5.0
0.57,0.8,-0.02,1.22,-29.85,-4.33
0.57,0.8,-0.01,-0.92,-21.12,-2.44
0.64,0.78,0.0,-4.64,-24.29,-2.38
0.65,0.78,0.0,-13.43,-38.09,-1.77
0.59,0.8,0.01,-15.81,-38.21,-0.31
0.56,0.81,0.01,-15.32,-33.26,0.85
0.55,0.82,-0.01,-6.16,-24.41,-1.83
0.61,0.81,-0.06,-1.1,-22.03,-2.62
0.61,0.8,-0.06,2.56,-16.6,1.04
0.58,0.79,-0.02,2.62,-13.98,2.38
0.57,0.78,0.0,2.38,-11.29,2.5
0.56,0.79,0.02,0.49,-1.71,2.62
0.55,0.79,0.04,-0.37,4.52,2.44
0.57,0.8,0.05,-0.43,12.02,1.22
0.63,0.8,0.03,-0.61,10.01,1.22
0.61,0.8,0.02,-1.89,1.34,1.71
0.57,0.81,0.01,-1.77,2.5,1.28
0.56,0.8,0.01,-1.22,7.26,1.1
0.58,0.79,0.01,-2.56,14.28,2.2
0.57,0.79,0.02,-4.21,14.71,1.83
0.58,0.8,0.02,-4.82,14.95,0.79
0.6,0.8,0.01,-4.39,12.94,-1.34
0.62,0.8,-0.02,-4.82,9.16,-1.53
0.6,0.8,-0.03,-7.39,1.16,-0.79
0.56,0.79,-0.05,-9.09,0.61,-0.85
0.56,0.8,-0.03,-9.95,2.75,-1.16
0.57,0.8,-0.01,-7.45,10.56,-1.71
0.64,0.79,0.01,-6.23,11.96,-2.01
0.65,0.8,-0.0,-8.18,2.26,-0.85
0.59,0.8,-0.05,-8.18,-4.09,-1.1
0.58,0.8,-0.05,-4.76,-4.76,-1.77
0.59,0.79,-0.04,-3.42,-1.04,-0.98
0.59,0.79,-0.03,-1.95,3.17,-0.37
0.61,0.79,-0.02,-1.89,4.64,-0.49
0.62,0.79,-0.03,-2.87,4.7,0.85
0.62,0.79,-0.02,-2.75,2.08,1.22
0.6,0.8,-0.02,-2.32,-1.04,1.53
0.58,0.81,-0.0,-2.69,-0.24,1.53
0.58,0.8,0.0,-3.17,1.65,1.77
0.6,0.8,0.0,-3.78,2.99,2.75
