ax,ay,az,gx,gy,gz
0.58,0.77,0.24,0.31,0.18,0.0
0.58,0.77,0.24,0.31,0.18,-0.06
0.58,0.77,0.24,-0.06,0.37,-0.12
0.58,0.77,0.24,-0.12,0.61,0.06
0.59,0.77,0.24,-0.12,0.67,0.18
0.58,0.77,0.24,-0.06,0.49,0.18
0.58,0.77,0.24,-0.06,0.43,0.12
0.58,0.77,0.24,0.0,0.55,0.12
0.58,0.77,0.24,0.12,0.37,0.06
0.58,0.77,0.24,0.12,0.31,0.0
0.58,0.77,0.24,0.06,0.43,0.0
0.59,0.77,0.24,0.12,0.43,0.06
0.59,0.77,0.24,0.31,0.31,0.06
0.59,0.77,0.24,0.31,0.31,0.18
0.59,0.77,0.24,0.31,0.49,0.37
0.58,0.77,0.24,0.31,0.85,0.61
0.58,0.77,0.24,0.31,0.73,0.61
0.58,0.77,0.24,0.43,0.55,0.49
0.58,0.77,0.24,0.49,0.24,0.18
0.58,0.77,0.24,0.61,0.06,0.0
0.58,0.77,0.24,0.79,0.06,-0.24
0.59,0.77,0.24,0.67,0.06,-0.31
0.59,0.77,0.24,0.43,-0.18,-0.31
0.59,0.77,0.24,0.06,-0.18,-0.06
0.59,0.77,0.24,0.06,0.31,0.31
0.58,0.77,0.24,0.12,0.67,0.55
0.58,0.77,0.24,0.37,0.61,0.79
0.58,0.77,0.23,0.55,0.43,0.85
0.58,0.77,0.24,0.49,0.24,0.61
0.58,0.77,0.24,0.49,0.37,0.43
0.58,0.77,0.25,0.61,0.79,-0.06
0.59,0.77,0.24,0.49,0.49,-0.06
0.59,0.77,0.25,0.37,-0.18,-0.12
0.58,0.77,0.24,0.31,0.12,0.31
0.58,0.77,0.24,0.31,0.92,0.61
0.58,0.77,0.24,0.06,0.43,0.49
0.58,0.77,0.24,-0.06,0.06,0.31
0.58,0.77,0.24,-0.12,0.24,0.31
0.58,0.77,0.24,-0.18,0.43,0.18
0.58,0.77,0.23,-0.06,0.43,0.06
0.59,0.77,0.23,0.37,0.37,0.31
0.58,0.77,0.23,0.55,0.06,0.24
0.58,0.77,0.24,0.67,0.06,0.18
0.58,0.77,0.24,0.79,0.85,0.31
0.58,0.77,0.24,0.67,0.73,0.24
0.58,0.77,0.24,0.55,0.24,0.12
0.58,0.77,0.24,0.43,0.18,0.18
0.58,0.77,0.24,0.31,0.18,0.12
0.58,0.77,0.24,0.43,0.37,0.12
0.58,0.77,0.24,0.31,0.18,0.0
0.58,0.77,0.24,0.0,-0.37,-0.06
0.58,0.77,0.24,0.0,-0.18,-0.18
0.58,0.77,0.24,0.18,0.37,-0.06
0.58,0.77,0.24,0.37,0.61,0.06
0.59,0.77,0.24,0.73,0.55,0.18
0.58,0.77,0.23,0.79,-0.06,0.18
0.58,0.77,0.23,0.79,-0.18,0.12
0.58,0.77,0.24,0.98,1.77,0.49
0.59,0.77,0.24,0.85,1.65,0.49
0.58,0.77,0.24,0.43,-0.73,-0.06
0.58,0.77,0.24,0.31,-0.18,0.0
0.58,0.77,0.24,0.24,0.79,0.37
0.58,0.77,0.24,0.31,0.31,0.12
0.58,0.77,0.24,0.31,0.24,0.24
0.58,0.77,0.24,0.12,0.37,0.37
0.58,0.77,0.24,0.18,0.18,0.31
0.58,0.77,0.24,0.18,0.37,0.24
0.58,0.77,0.24,0.12,0.37,0.06
0.58,0.77,0.24,0.12,0.06,-0.12
0.58,0.77,0.24,0.37,0.06,0.0
0.58,0.77,0.24,0.43,0.12,0.0
