ax,ay,az,gx,gy,gz
0.42,0.84,-0.33,-12.21,-192.81,-17.94
0.42,0.83,-0.29,-12.15,-175.29,-16.05
0.48,0.82,-0.21,-12.82,-169.92,-15.2
0.51,0.81,-0.18,-14.95,-170.17,-15.62
0.52,0.8,-0.19,-15.32,-171.69,-16.17
0.52,0.81,-0.21,-14.59,-170.65,-16.36
0.5,0.81,-0.22,-11.6,-155.33,-14.89
0.52,0.82,-0.2,-10.38,-144.1,-13.55
0.53,0.82,-0.16,-9.09,-124.94,-9.89
0.54,0.81,-0.09,-8.73,-117.49,-8.91
0.56,0.8,-0.06,-8.97,-109.74,-8.97
0.59,0.79,-0.05,-9.46,-110.05,-9.16
0.58,0.79,-0.05,-9.58,-111.51,-10.74
0.59,0.79,-0.05,-9.89,-111.02,-11.78
0.61,0.79,-0.04,-10.68,-111.27,-12.15
0.62,0.79,-0.03,-11.41,-112.67,-10.99
0.57,0.79,-0.01,-10.74,-109.37,-10.74
0.59,0.79,-0.01,-10.99,-103.03,-11.66
0.68,0.77,0.01,-12.57,-109.19,-12.08
0.69,0.77,0.01,-15.93,-135.25,-14.59
0.63,0.78,0.0,-16.17,-144.53,-15.01
0.56,0.79,0.01,-11.96,-130.49,-12.94
0.47,0.8,0.05,-8.18,-107.3,-11.17
0.48,0.8,0.07,0.37,-53.53,-5.86
0.55,0.78,0.1,3.78,-33.69,-3.72
0.59,0.77,0.11,5.98,-20.51,-2.14
0.63,0.77,0.12,6.29,-10.56,0.06
0.65,0.76,0.15,5.55,-10.93,0.85
0.66,0.76,0.16,3.36,-16.66,0.85
0.65,0.76,0.15,2.44,-21.48,1.04
0.61,0.77,0.14,3.05,-20.08,1.34
0.51,0.79,0.13,4.7,-8.06,2.44
0.49,0.79,0.12,7.39,10.86,4.58
0.49,0.79,0.12,15.08,59.27,10.74
0.55,0.78,0.11,17.52,82.09,13.31
0.62,0.77,0.1,17.7,96.07,15.01
0.67,0.76,0.1,16.36,92.9,16.54
0.62,0.78,0.07,17.58,91.25,17.58
0.57,0.79,0.05,21.24,117.86,23.62
0.48,0.8,0.02,23.44,139.47,26.31
0.48,0.8,0.01,26.18,159.36,27.47
0.53,0.8,-0.01,30.33,183.59,28.87
0.69,0.79,-0.04,29.97,184.39,30.94
0.72,0.79,-0.05,25.45,164.73,32.35
0.73,0.8,-0.05,21.79,146.91,30.82
0.71,0.8,-0.03,14.04,105.83,27.1
0.56,0.82,0.0,12.76,92.83,25.57
0.47,0.83,-0.01,13.37,97.53,22.64
0.41,0.83,-0.07,15.01,111.33,21.18
0.42,0.83,-0.1,16.97,127.62,20.63
0.43,0.85,-0.12,18.25,156.62,21.06
0.52,0.85,-0.13,17.21,162.84,21.12
0.61,0.84,-0.11,10.99,141.48,20.75
0.66,0.85,-0.1,9.58,118.65,20.81
0.58,0.84,-0.13,9.03,87.65,21.67
0.42,0.83,-0.19,6.71,88.93,20.94
0.4,0.84,-0.2,3.78,112.73,18.92
0.42,0.86,-0.22,3.6,123.78,19.59
0.42,0.87,-0.22,3.85,130.92,20.81
0.4,0.87,-0.23,7.02,142.03,22.71
0.35,0.88,-0.26,9.89,153.26,24.41
0.27,0.87,-0.29,8.18,191.83,28.5
0.26,0.86,-0.33,5.0,210.63,27.83
0.3,0.87,-0.33,1.16,223.27,24.23
0.34,0.87,-0.32,1.04,217.53,22.03
0.35,0.87,-0.33,3.66,199.16,17.4
0.36,0.87,-0.34,3.78,188.96,15.93
0.35,0.88,-0.35,2.75,177.55,14.65
0.33,0.87,-0.35,-2.93,148.86,12.08
