ax,ay,az,gx,gy,gz
0.59,0.71,0.39,0.0,0.73,-0.43
0.59,0.71,0.39,-0.06,0.92,-0.79
0.59,0.71,0.37,0.12,0.67,-0.67
0.59,0.7,0.36,-0.37,0.06,-0.37
0.59,0.7,0.37,-1.04,-0.18,-0.73
0.6,0.7,0.38,-1.59,0.79,-0.61
0.6,0.7,0.38,-2.62,1.59,-0.06
0.6,0.71,0.38,-2.01,0.06,-0.06
0.59,0.71,0.39,-0.49,-0.49,-0.49
0.59,0.71,0.4,1.28,2.87,-0.37
0.61,0.7,0.37,1.71,3.78,0.0
0.61,0.7,0.36,1.04,2.93,0.61
0.61,0.7,0.36,-1.22,0.49,1.28
0.62,0.7,0.36,-2.56,0.73,2.44
0.61,0.7,0.35,-5.68,0.85,4.52
0.6,0.71,0.35,-5.92,0.18,4.33
0.58,0.71,0.38,-4.82,0.0,3.78
0.58,0.71,0.4,-3.42,2.38,2.75
0.58,0.71,0.38,-3.3,3.42,2.56
0.58,0.71,0.36,-2.87,1.89,1.46
0.58,0.72,0.36,-2.75,0.85,1.16
0.58,0.72,0.36,-1.71,0.79,0.98
0.59,0.72,0.37,-0.85,0.73,0.73
0.58,0.72,0.38,0.0,0.55,0.49
0.58,0.72,0.39,1.53,1.04,-0.49
0.58,0.71,0.38,2.14,1.46,-1.16
0.59,0.71,0.37,2.32,2.01,-1.59
0.6,0.71,0.36,2.5,2.08,-1.22
0.59,0.72,0.35,2.69,1.46,-1.16
0.59,0.71,0.36,2.56,0.92,-0.61
0.61,0.7,0.36,2.62,0.49,-0.49
0.61,0.71,0.37,2.5,-0.37,-0.73
0.6,0.72,0.37,2.62,-0.49,-0.61
0.59,0.71,0.37,3.05,-0.73,-0.73
0.59,0.71,0.36,3.66,0.0,-0.79
0.58,0.7,0.36,3.78,1.22,-0.55
0.59,0.7,0.37,3.42,0.98,-2.14
0.6,0.71,0.38,2.26,-1.16,-2.62
0.59,0.71,0.38,0.24,-4.52,-2.01
0.58,0.71,0.39,-0.43,-3.54,-1.59
0.6,0.71,0.39,-0.85,-1.22,-1.46
0.6,0.71,0.38,-1.59,3.66,0.12
0.59,0.71,0.36,-1.59,4.09,0.49
0.6,0.7,0.36,-1.83,1.71,0.12
0.6,0.71,0.36,-1.95,0.61,0.43
0.59,0.71,0.36,-0.18,0.12,0.49
0.59,0.71,0.38,0.49,0.61,0.31
0.6,0.72,0.38,0.49,1.22,0.0
0.6,0.72,0.38,0.0,0.98,0.18
0.59,0.71,0.37,1.1,0.79,0.49
0.59,0.71,0.37,4.15,0.0,0.55
0.6,0.71,0.38,4.39,0.0,0.67
0.6,0.71,0.38,4.46,0.67,0.98
0.6,0.7,0.39,3.3,0.73,1.22
0.59,0.7,0.39,1.95,0.61,1.16
0.59,0.71,0.39,0.24,0.37,1.22
0.59,0.71,0.37,-1.53,-0.85,0.67
0.58,0.71,0.38,-1.59,-0.18,0.92
0.58,0.71,0.38,0.0,2.44,0.43
0.59,0.72,0.36,0.79,1.95,0.18
0.59,0.71,0.35,1.46,-0.43,-0.06
0.59,0.7,0.35,-0.24,-1.46,-0.06
0.58,0.7,0.36,-2.81,-1.28,0.67
0.59,0.71,0.37,-2.14,-0.49,0.12
0.61,0.71,0.39,-1.65,-0.61,-0.43
0.61,0.71,0.41,-1.95,-1.4,0.06
0.61,0.71,0.39,-0.73,-0.61,0.24
0.6,0.71,0.37,0.85,-0.79,0.12
0.57,0.71,0.34,1.16,-1.53,-0.31
0.57,0.71,0.35,0.85,-0.98,-1.1
