ax,ay,az,gx,gy,gz
0.52,0.84,0.03,17.58,8.12,2.93
0.54,0.84,0.03,17.58,7.51,2.01
0.56,0.83,0.0,17.76,7.26,1.95
0.55,0.83,0.01,16.42,6.23,2.44
0.52,0.84,0.03,14.34,6.16,2.81
0.49,0.86,0.08,12.33,6.53,3.23
0.53,0.85,0.04,13.98,8.42,4.52
0.6,0.8,-0.06,17.15,12.33,4.94
0.6,0.8,-0.07,19.78,19.65,5.31
0.58,0.81,-0.04,20.02,32.41,4.82
0.52,0.82,0.01,19.59,32.17,3.48
0.5,0.81,0.02,19.9,24.96,-1.95
0.51,0.82,0.02,20.02,22.22,-3.97
0.53,0.82,0.03,19.96,20.51,-4.76
0.56,0.83,0.04,18.74,20.2,-5.68
0.56,0.83,0.05,17.76,22.09,-5.31
0.56,0.83,0.06,16.48,28.44,-3.6
0.57,0.82,0.07,16.05,31.68,-3.05
0.58,0.81,0.07,15.14,36.13,-1.77
0.56,0.81,0.06,14.59,37.54,-1.95
0.54,0.81,0.05,13.31,42.24,-2.08
0.5,0.82,0.03,12.88,47.61,-1.59
0.5,0.82,0.03,13.61,66.71,-0.31
0.53,0.81,0.04,13.18,78.43,0.92
0.55,0.81,0.04,11.35,88.38,1.95
0.57,0.81,0.04,7.02,98.08,2.56
0.56,0.79,-0.01,5.92,98.63,2.01
0.57,0.78,-0.04,2.99,87.71,-0.55
0.6,0.81,-0.05,2.01,80.51,-0.31
0.62,0.82,-0.02,1.53,77.39,1.83
0.64,0.82,0.01,-2.44,74.58,7.26
0.59,0.82,0.01,-4.33,70.62,8.91
0.56,0.82,-0.02,-4.09,69.52,10.62
0.51,0.82,-0.12,-3.05,76.78,11.54
0.5,0.82,-0.16,-1.89,86.24,13.24
0.51,0.82,-0.17,-0.98,96.07,16.42
0.52,0.83,-0.16,-1.53,96.74,17.15
0.53,0.83,-0.15,-2.87,99.3,21.0
0.56,0.83,-0.16,-3.85,100.04,23.19
0.57,0.83,-0.16,-6.04,91.92,24.54
0.53,0.85,-0.19,-6.77,84.47,23.86
0.51,0.86,-0.21,-6.77,78.37,23.13
0.49,0.86,-0.23,-5.25,72.33,23.86
0.46,0.87,-0.25,-4.58,71.04,24.54
0.43,0.86,-0.26,-2.44,71.78,25.63
0.42,0.86,-0.26,-1.4,73.43,26.31
0.41,0.86,-0.27,0.18,77.27,27.28
0.37,0.85,-0.28,0.55,79.59,27.22
0.36,0.86,-0.28,1.1,85.33,25.63
0.35,0.87,-0.28,1.04,86.85,24.96
0.34,0.87,-0.28,0.92,87.4,24.54
0.33,0.88,-0.28,1.22,88.38,22.28
0.34,0.88,-0.29,0.49,88.07,21.3
0.33,0.88,-0.29,-1.22,83.19,20.57
0.33,0.87,-0.31,-0.79,80.2,19.41
0.33,0.88,-0.32,0.06,73.85,18.01
0.32,0.88,-0.3,-0.92,69.34,18.13
0.3,0.87,-0.3,-1.89,64.58,17.88
0.3,0.87,-0.31,-2.44,58.41,16.66
0.29,0.88,-0.33,-3.05,55.91,15.93
0.28,0.88,-0.34,-4.39,49.32,14.71
0.25,0.89,-0.35,-4.46,46.81,14.1
0.24,0.89,-0.34,-5.25,44.8,13.37
0.22,0.89,-0.34,-5.68,44.68,12.82
0.22,0.88,-0.34,-6.04,42.3,10.68
0.23,0.88,-0.36,-6.1,40.53,9.83
0.22,0.88,-0.37,-5.98,39.61,9.22
0.2,0.89,-0.39,-5.31,40.83,7.87
0.19,0.89,-0.39,-5.37,41.87,6.84
