ax,ay,az,gx,gy,gz
0.62,0.78,-0.23,28.93,19.04,-15.62
0.61,0.78,-0.2,29.36,7.63,-18.19
0.55,0.78,-0.15,28.56,3.78,-20.57
0.54,0.78,-0.12,25.45,4.09,-23.93
0.58,0.76,-0.07,24.11,5.13,-24.9
0.59,0.76,-0.06,23.07,5.13,-26.06
0.6,0.76,-0.07,21.06,3.85,-27.77
0.61,0.75,-0.1,20.2,2.38,-28.32
0.61,0.74,-0.11,20.63,-1.53,-30.15
0.62,0.73,-0.12,21.0,-3.11,-31.25
0.63,0.73,-0.11,20.51,-4.33,-31.62
0.65,0.73,-0.08,20.2,-4.94,-31.68
0.66,0.72,-0.08,19.9,-6.47,-31.8
0.67,0.72,-0.09,21.0,-8.67,-31.25
0.67,0.72,-0.1,22.16,-6.41,-30.21
0.67,0.71,-0.1,23.56,2.38,-27.1
0.68,0.71,-0.1,24.11,5.74,-26.31
0.67,0.71,-0.09,25.45,8.97,-26.0
0.67,0.72,-0.09,26.12,9.77,-25.88
0.67,0.71,-0.08,26.61,10.19,-26.25
0.69,0.7,-0.06,26.43,9.83,-27.34
0.71,0.69,-0.05,25.88,8.73,-27.59
0.71,0.69,-0.05,24.96,4.64,-28.63
0.7,0.68,-0.07,25.09,3.72,-28.93
0.71,0.68,-0.07,25.21,4.94,-28.93
0.72,0.67,-0.06,24.6,10.07,-28.08
0.75,0.66,-0.03,23.93,10.38,-28.02
0.76,0.66,-0.02,22.09,5.43,-28.2
0.76,0.66,-0.0,21.0,2.99,-27.83
0.77,0.65,0.01,18.68,0.92,-26.43
0.79,0.64,0.0,17.82,0.49,-25.7
0.8,0.64,-0.0,17.09,0.06,-24.96
0.8,0.65,-0.01,15.69,-1.46,-22.58
0.79,0.65,-0.02,15.26,-2.69,-21.67
0.78,0.66,-0.02,14.28,-3.36,-20.63
0.79,0.66,0.0,13.49,-2.56,-19.78
0.81,0.65,0.02,11.17,-3.48,-17.58
0.84,0.63,0.02,10.19,-6.04,-16.78
0.83,0.63,0.0,9.58,-8.79,-14.89
0.81,0.63,-0.01,9.4,-7.08,-12.94
0.81,0.62,0.0,9.16,-3.72,-10.8
0.81,0.62,0.02,8.36,2.26,-7.63
0.83,0.61,0.04,7.57,2.87,-6.16
0.83,0.61,0.05,5.37,-0.98,-4.52
0.84,0.61,0.05,4.09,-3.3,-3.72
0.84,0.6,0.06,2.69,-4.88,-2.69
0.84,0.6,0.05,-0.18,-6.53,0.18
0.82,0.61,0.04,-1.16,-6.53,1.77
0.82,0.61,0.03,-2.69,-3.17,5.19
0.82,0.62,0.03,-3.48,-0.43,7.26
0.82,0.62,0.03,-4.33,1.53,8.91
0.82,0.63,0.03,-6.04,1.83,11.41
0.81,0.64,0.03,-6.84,1.16,12.57
0.81,0.64,0.02,-7.63,0.06,15.2
0.81,0.65,-0.01,-7.51,-0.12,16.48
0.81,0.66,-0.03,-6.71,2.08,19.78
0.79,0.67,-0.03,-6.47,4.76,21.85
0.8,0.67,-0.02,-6.23,7.69,24.05
0.8,0.66,-0.0,-6.41,8.73,26.55
0.81,0.66,0.01,-6.9,5.49,26.73
0.8,0.66,0.02,-8.79,-3.78,26.86
0.77,0.66,0.0,-9.77,-7.02,26.98
0.75,0.66,-0.01,-10.56,-8.0,27.28
0.73,0.67,-0.02,-11.72,-3.48,28.32
0.73,0.67,-0.01,-12.45,0.0,28.99
0.74,0.67,-0.01,-14.4,3.11,29.72
0.74,0.68,-0.01,-15.44,2.08,30.15
0.73,0.69,-0.01,-16.97,-1.22,31.07
0.71,0.69,-0.01,-17.46,-1.59,31.37
0.7,0.7,-0.01,-18.43,0.24,31.74
