ax,ay,az,gx,gy,gz
0.25,0.79,-0.55,-6.84,4.21,-0.18
0.27,0.79,-0.63,-4.52,6.29,1.83
0.27,0.78,-0.64,1.04,8.42,7.02
0.25,0.77,-0.52,1.34,8.61,6.71
0.23,0.77,-0.48,-0.92,9.4,4.94
0.23,0.79,-0.5,-3.48,5.0,-0.49
0.25,0.79,-0.61,-3.05,-1.4,-2.5
0.24,0.78,-0.62,-1.89,-7.2,-2.69
0.22,0.76,-0.57,-1.53,-3.85,-0.79
0.22,0.76,-0.54,-2.99,2.44,2.14
0.27,0.78,-0.53,-2.75,1.22,0.49
0.27,0.8,-0.56,-1.04,-3.05,-2.14
0.25,0.8,-0.6,1.59,-10.74,-4.46
0.2,0.78,-0.58,1.1,-8.12,-4.03
0.2,0.77,-0.56,-0.79,7.93,-0.43
0.26,0.76,-0.49,-2.81,11.84,0.37
0.28,0.77,-0.49,-5.37,8.3,-1.1
0.27,0.78,-0.53,-6.77,-7.63,-6.71
0.23,0.78,-0.61,-5.62,-8.91,-6.53
0.23,0.78,-0.62,-3.91,1.89,-1.65
0.28,0.78,-0.56,-4.39,5.37,-0.24
0.29,0.78,-0.54,-4.03,3.23,-1.22
0.24,0.77,-0.55,-3.48,1.04,-1.53
0.23,0.77,-0.56,-3.23,3.48,-1.22
0.29,0.76,-0.58,-3.66,5.98,0.12
0.31,0.77,-0.59,-4.09,5.37,1.22
0.31,0.77,-0.59,-3.97,-5.19,0.12
0.26,0.78,-0.59,-3.48,-9.22,-0.43
0.24,0.77,-0.57,-2.99,-9.03,0.0
0.2,0.77,-0.53,-3.42,-7.69,-0.55
0.21,0.76,-0.52,-5.07,-8.12,-3.66
0.27,0.75,-0.57,-6.1,-13.79,-5.49
0.25,0.77,-0.6,-6.29,-21.06,-7.75
0.22,0.77,-0.61,-2.08,-15.08,-8.67
0.21,0.77,-0.56,0.0,-2.99,-5.92
0.24,0.76,-0.54,1.65,8.73,-3.17
0.29,0.75,-0.56,1.95,5.25,-4.39
0.3,0.75,-0.59,2.38,0.24,-5.25
0.29,0.76,-0.61,3.78,2.32,-2.81
0.31,0.77,-0.64,4.82,6.9,-0.55
0.32,0.78,-0.63,7.02,7.08,2.01
0.3,0.77,-0.58,7.87,5.55,2.14
0.28,0.76,-0.56,8.42,5.92,2.56
0.26,0.76,-0.54,7.32,8.3,3.17
0.21,0.76,-0.54,6.41,7.93,1.77
0.21,0.77,-0.56,5.43,9.83,-1.53
0.23,0.77,-0.58,5.31,13.31,-1.59
0.25,0.78,-0.58,3.78,15.2,-0.43
0.27,0.78,-0.56,3.17,13.06,-0.67
0.25,0.77,-0.56,3.54,11.84,-0.49
0.24,0.76,-0.56,4.21,17.09,-0.18
0.23,0.76,-0.54,3.48,21.91,-1.04
0.24,0.77,-0.53,2.08,26.67,-0.92
0.28,0.77,-0.54,2.2,25.15,-0.06
0.28,0.77,-0.55,1.65,23.99,2.08
0.22,0.79,-0.59,1.95,30.09,3.3
0.22,0.79,-0.6,3.42,38.7,4.88
0.27,0.77,-0.59,5.8,44.68,5.86
0.27,0.78,-0.57,5.07,40.59,5.8
0.26,0.78,-0.56,1.77,31.37,3.3
0.23,0.79,-0.57,0.24,26.73,2.01
0.21,0.79,-0.58,-2.32,22.83,1.34
0.17,0.77,-0.59,-2.44,24.9,1.46
0.18,0.76,-0.6,0.79,28.32,2.32
0.18,0.76,-0.59,1.59,26.31,3.66
0.17,0.77,-0.58,1.1,22.58,4.15
0.15,0.78,-0.58,0.31,17.27,2.56
0.13,0.77,-0.58,0.31,17.46,2.2
0.12,0.76,-0.57,-1.34,19.41,1.1
0.16,0.76,-0.6,-0.92,18.62,-1.1
