ax,ay,az,gx,gy,gz
0.57,0.72,-0.34,0.43,2.62,-0.55
0.59,0.72,-0.33,0.43,4.64,-0.06
0.6,0.72,-0.33,0.31,2.75,-0.06
0.61,0.71,-0.35,-0.12,0.0,-0.61
0.6,0.71,-0.35,-1.77,-3.17,-1.28
0.58,0.72,-0.34,-1.83,-2.32,-1.46
0.58,0.72,-0.34,0.12,1.59,-0.37
0.61,0.72,-0.34,0.61,2.01,0.67
0.61,0.71,-0.34,1.16,0.49,0.61
0.6,0.71,-0.35,2.01,-2.87,-1.46
0.58,0.72,-0.34,1.71,-2.01,-1.04
0.58,0.72,-0.33,0.43,1.59,0.55
0.6,0.72,-0.34,0.24,1.59,0.37
0.6,0.71,-0.35,-0.18,-0.98,-0.49
0.58,0.72,-0.35,-0.55,-1.04,-0.73
0.59,0.72,-0.34,-0.37,-0.37,-0.98
0.6,0.71,-0.33,0.12,1.04,-0.61
0.6,0.71,-0.33,0.06,1.28,-0.31
0.6,0.72,-0.34,-0.18,-0.12,-0.31
0.6,0.72,-0.34,-0.31,-0.67,-0.37
0.59,0.72,-0.34,-0.37,-0.31,-0.18
0.59,0.72,-0.33,-0.49,-0.18,-0.24
0.59,0.72,-0.33,-0.31,0.43,-0.18
0.6,0.71,-0.34,-0.31,0.37,-0.31
0.6,0.71,-0.35,-1.28,0.06,-0.73
0.6,0.71,-0.35,-1.46,0.92,-0.43
0.6,0.71,-0.34,-1.1,1.65,0.43
0.6,0.71,-0.34,-0.92,1.04,0.37
0.6,0.72,-0.34,-0.61,-0.73,-0.12
0.6,0.72,-0.35,-0.49,-1.1,-0.12
0.59,0.72,-0.35,-0.37,-0.92,-0.06
0.59,0.71,-0.35,-0.31,-0.18,0.0
0.59,0.71,-0.35,-0.67,0.31,0.06
0.59,0.71,-0.35,-0.79,0.85,-0.12
0.6,0.72,-0.35,-0.31,0.85,-0.31
0.6,0.72,-0.35,0.61,0.18,0.0
0.6,0.71,-0.35,0.49,-0.37,-0.24
0.6,0.71,-0.34,0.24,0.73,-0.37
0.6,0.71,-0.34,0.31,1.34,0.18
0.6,0.71,-0.34,0.43,0.79,0.18
0.6,0.72,-0.34,0.43,0.24,-0.24
0.6,0.72,-0.35,0.43,-0.37,-0.31
0.6,0.71,-0.35,0.73,-1.34,-0.49
0.59,0.72,-0.35,0.98,-1.1,-0.67
0.59,0.72,-0.35,0.98,0.18,-0.18
0.6,0.71,-0.34,0.55,0.55,-0.18
0.6,0.71,-0.34,-0.06,0.67,-0.49
0.6,0.71,-0.34,0.0,0.49,-0.37
0.6,0.71,-0.34,0.24,0.31,-0.31
0.6,0.71,-0.34,0.85,0.49,-0.98
0.61,0.71,-0.35,0.92,1.16,-0.73
0.61,0.71,-0.35,0.55,1.28,0.43
0.6,0.71,-0.35,0.43,0.73,0.12
0.59,0.71,-0.34,0.55,0.43,-0.43
0.59,0.71,-0.34,0.85,1.1,-0.18
0.6,0.71,-0.34,1.16,1.1,-0.85
0.6,0.72,-0.34,0.85,1.04,-0.79
0.59,0.72,-0.33,0.37,2.01,0.18
0.59,0.71,-0.34,0.67,2.44,-0.55
0.6,0.72,-0.35,1.16,2.69,-1.53
0.6,0.72,-0.36,0.98,2.56,-0.67
0.6,0.71,-0.35,0.61,1.95,0.06
0.59,0.71,-0.33,0.73,0.0,-1.1
0.59,0.71,-0.34,1.16,-0.18,-2.44
0.6,0.72,-0.35,1.77,0.43,-3.36
0.62,0.71,-0.36,1.28,-0.31,-2.38
0.61,0.71,-0.35,-0.18,-2.01,-1.04
0.59,0.71,-0.33,-0.67,-1.4,-1.22
