ax,ay,az,gx,gy,gz
0.67,0.66,0.3,1.28,-3.36,0.49
0.66,0.66,0.29,1.22,-2.14,-0.12
0.67,0.66,0.29,1.22,1.04,-0.31
0.68,0.66,0.29,1.16,0.92,-0.24
0.69,0.65,0.29,1.04,-0.31,-0.31
0.69,0.65,0.31,0.49,-1.89,-0.79
0.69,0.66,0.32,0.49,-1.53,-1.22
0.69,0.65,0.31,0.79,-0.85,-1.59
0.7,0.65,0.31,1.04,-1.16,-1.95
0.71,0.65,0.29,0.67,-2.81,-1.83
0.71,0.65,0.29,-0.06,-6.47,-1.46
0.69,0.65,0.29,0.06,-6.77,-1.53
0.68,0.65,0.29,0.73,-5.07,-1.53
0.7,0.65,0.3,2.26,2.62,-1.04
0.71,0.65,0.31,2.32,3.78,-0.49
0.69,0.65,0.3,1.4,-0.61,-0.12
0.68,0.65,0.3,0.61,0.18,0.31
0.67,0.65,0.31,0.43,0.98,0.18
0.68,0.65,0.32,0.12,1.04,-0.12
0.68,0.65,0.32,-0.67,1.53,-0.61
0.69,0.65,0.31,-0.79,2.08,-0.43
0.69,0.65,0.31,-0.73,2.93,-0.24
0.69,0.65,0.3,-0.55,4.09,0.12
0.68,0.64,0.29,-0.31,5.62,0.55
0.68,0.63,0.28,1.16,8.91,0.43
0.65,0.64,0.27,2.44,12.21,-0.18
0.66,0.65,0.28,4.33,23.19,1.95
0.69,0.65,0.31,4.15,26.92,3.6
0.7,0.65,0.32,2.62,34.06,3.48
0.71,0.66,0.32,2.62,37.41,4.21
0.71,0.65,0.29,3.05,40.47,5.43
0.71,0.65,0.27,4.58,46.94,7.63
0.71,0.65,0.23,5.62,50.66,8.36
0.71,0.66,0.24,6.47,57.37,9.34
0.72,0.66,0.24,5.55,60.0,10.07
0.72,0.67,0.23,0.79,70.43,17.76
0.7,0.66,0.22,1.34,74.4,19.71
0.69,0.66,0.2,2.81,73.91,16.36
0.69,0.67,0.2,3.36,75.2,10.5
0.71,0.67,0.21,3.11,76.9,10.68
0.71,0.68,0.21,2.56,79.9,11.47
0.71,0.69,0.17,2.5,85.02,12.76
0.7,0.68,0.13,3.05,91.86,14.71
0.7,0.68,0.1,3.85,106.45,17.33
0.68,0.68,0.07,3.36,111.88,17.4
0.71,0.68,0.07,1.77,104.86,15.62
0.74,0.68,0.05,1.71,96.44,14.34
0.73,0.69,0.02,2.32,93.14,14.04
0.72,0.69,0.01,1.4,103.7,14.95
0.7,0.7,0.02,-0.06,112.12,17.03
0.69,0.7,0.01,-0.43,118.9,19.23
0.67,0.7,-0.03,-0.24,122.44,18.68
0.67,0.71,-0.05,1.16,136.17,17.7
0.66,0.71,-0.12,2.01,141.36,17.21
0.66,0.71,-0.16,2.93,146.24,17.21
0.66,0.71,-0.18,3.85,160.64,16.11
0.65,0.71,-0.18,3.85,168.21,13.85
0.66,0.72,-0.18,5.55,174.87,9.28
0.68,0.73,-0.21,7.75,173.95,9.4
0.65,0.75,-0.25,14.28,178.41,18.86
0.6,0.73,-0.32,13.43,185.61,23.93
0.61,0.72,-0.34,10.38,192.63,25.7
0.62,0.73,-0.35,6.9,190.73,22.95
0.6,0.75,-0.37,7.14,182.37,21.85
0.6,0.76,-0.36,11.41,169.31,23.38
0.58,0.76,-0.37,14.16,166.32,25.02
0.53,0.76,-0.4,14.59,163.21,26.12
0.49,0.76,-0.42,16.66,158.94,23.56
0.42,0.76,-0.44,16.54,157.23,22.58
0.42,0.76,-0.45,10.38,150.63,22.77
