ax,ay,az,gx,gy,gz
0.64,0.73,0.24,0.92,2.87,-0.92
0.64,0.73,0.23,1.4,2.26,-0.67
0.63,0.73,0.21,1.16,0.98,-0.24
0.63,0.73,0.22,0.31,0.12,0.49
0.63,0.73,0.22,0.18,0.18,0.67
0.64,0.73,0.24,0.18,-0.37,0.49
0.64,0.73,0.24,0.12,-1.16,0.37
0.64,0.73,0.24,0.0,-0.85,0.55
0.64,0.73,0.23,-0.37,-1.28,0.61
0.64,0.73,0.23,-0.67,-2.26,0.43
0.63,0.73,0.23,-1.04,-2.81,0.31
0.63,0.73,0.24,-2.01,-1.04,1.34
0.61,0.74,0.26,-1.59,1.04,0.73
0.63,0.74,0.25,0.18,3.66,0.0
0.64,0.73,0.22,0.37,2.2,0.18
0.63,0.73,0.21,0.24,0.0,0.06
0.63,0.74,0.22,-0.06,-1.53,0.18
0.62,0.74,0.24,-0.06,-0.55,0.06
0.64,0.73,0.22,0.79,0.79,-0.18
0.64,0.73,0.22,1.16,0.12,-0.37
0.63,0.74,0.23,1.65,-0.24,-0.85
0.63,0.74,0.24,1.89,1.83,-0.92
0.63,0.74,0.24,2.38,3.17,-0.12
0.64,0.76,0.25,2.69,-0.85,-1.34
0.63,0.75,0.24,-10.68,-15.44,-6.71
0.4,0.8,0.4,-18.86,-16.78,-7.08
0.37,0.79,0.33,-8.54,-11.47,-6.77
0.58,0.77,0.13,29.97,50.23,-5.92
1.06,0.64,0.03,24.66,87.77,11.41
0.99,0.63,0.16,5.74,24.54,19.35
0.63,0.72,0.28,1.34,-28.81,3.78
0.5,0.72,0.24,0.73,-22.28,7.93
0.56,0.69,0.21,1.34,1.1,10.19
0.6,0.72,0.2,0.0,2.75,3.3
0.6,0.77,0.16,-0.12,-0.49,1.4
0.59,0.76,0.19,0.31,1.34,2.14
0.59,0.76,0.24,1.46,9.46,1.71
0.62,0.76,0.3,2.26,15.5,1.04
0.62,0.74,0.27,4.27,21.73,0.85
0.63,0.72,0.2,5.07,15.14,-0.85
0.61,0.71,0.18,5.62,3.85,-3.3
0.61,0.7,0.17,3.85,-15.44,-5.19
0.66,0.73,0.22,-0.12,-18.74,-4.33
0.67,0.74,0.28,-6.29,-21.79,-1.28
0.61,0.74,0.35,-7.32,-25.15,-1.53
0.57,0.75,0.35,-10.99,-25.76,-4.64
0.55,0.75,0.33,-12.08,-20.69,-5.74
0.57,0.76,0.26,-12.21,-16.3,-6.71
0.59,0.77,0.22,-10.68,-13.06,-5.74
0.63,0.76,0.17,-9.09,-9.52,-3.78
0.66,0.74,0.16,-4.27,-0.43,-0.67
0.7,0.72,0.16,-2.01,1.65,-0.24
0.7,0.71,0.17,-0.24,1.65,0.0
0.68,0.71,0.18,0.49,-4.39,-0.06
0.63,0.72,0.21,-0.12,-7.69,-0.55
0.62,0.73,0.23,0.12,-4.64,-0.73
0.64,0.74,0.26,0.98,-1.16,0.0
0.64,0.75,0.26,2.26,2.99,1.1
0.65,0.74,0.26,2.69,3.66,1.89
0.64,0.74,0.25,2.62,1.28,3.05
0.62,0.73,0.23,2.56,-0.67,3.23
0.61,0.73,0.22,2.56,-1.65,3.05
0.6,0.73,0.22,2.2,-0.12,2.08
0.62,0.73,0.24,1.71,0.61,1.71
0.62,0.73,0.25,0.73,-0.06,0.67
0.62,0.74,0.25,0.31,-0.31,0.31
0.62,0.74,0.25,-0.06,-0.85,-0.31
0.62,0.74,0.24,-0.06,-1.59,-0.61
0.62,0.74,0.24,0.0,-2.26,-0.79
