ax,ay,az,gx,gy,gz
0.97,0.08,-0.23,-0.37,2.01,-0.49
0.98,0.08,-0.24,-0.12,0.98,0.0
0.97,0.08,-0.24,0.06,0.37,0.31
0.97,0.08,-0.24,0.67,0.06,0.79
0.96,0.08,-0.23,0.79,0.24,0.67
0.97,0.08,-0.23,0.79,0.31,0.49
0.97,0.08,-0.23,0.61,-0.12,0.31
0.97,0.08,-0.23,0.37,-0.18,0.0
0.97,0.08,-0.23,0.0,0.06,-0.24
0.97,0.08,-0.24,-0.06,0.37,-0.24
0.97,0.08,-0.24,0.06,1.28,0.06
0.97,0.08,-0.23,0.12,1.4,0.18
0.97,0.08,-0.23,0.18,1.22,0.24
0.97,0.08,-0.23,0.37,0.31,0.24
0.97,0.08,-0.23,0.37,0.0,0.0
0.97,0.08,-0.23,0.49,0.06,-0.18
0.97,0.08,-0.23,0.49,0.18,-0.12
0.97,0.08,-0.23,0.43,0.31,0.06
0.97,0.08,-0.24,0.67,-0.18,-0.06
0.97,0.08,-0.24,0.98,-0.43,-0.06
0.97,0.08,-0.22,0.98,0.18,0.18
0.97,0.08,-0.2,1.22,1.34,0.49
0.98,0.08,-0.19,1.65,4.58,1.04
0.99,0.09,-0.22,1.59,6.35,1.71
0.99,0.09,-0.25,0.55,4.09,1.89
0.96,0.12,-0.23,-0.31,1.46,2.08
0.97,0.11,-0.21,-1.28,0.24,2.75
0.99,0.11,-0.16,-9.03,-2.26,3.85
0.9,0.19,-0.11,-13.85,0.12,2.08
0.87,0.2,-0.18,-11.78,-1.22,-3.3
0.88,0.01,-0.52,-2.2,-10.74,-9.34
1.13,-0.11,-0.58,6.77,-21.73,-8.06
1.07,-0.0,-0.27,5.07,-28.75,-0.24
1.0,0.06,-0.12,1.77,-29.24,-0.31
0.91,0.09,-0.09,0.73,-16.54,0.85
0.97,0.06,-0.11,1.71,-1.89,-0.79
1.02,0.04,-0.14,2.99,10.13,0.55
1.01,0.05,-0.2,0.61,7.81,2.32
0.97,0.06,-0.24,-3.42,16.6,5.62
1.01,0.07,-0.26,-1.53,28.38,6.9
1.04,0.07,-0.23,5.25,31.49,7.14
1.05,0.06,-0.25,8.06,25.27,6.04
1.03,0.05,-0.26,9.28,18.98,6.1
0.98,0.06,-0.28,7.26,0.85,6.29
0.9,0.06,-0.26,5.31,-7.57,5.98
0.88,0.1,-0.18,-2.2,-5.49,10.38
0.92,0.16,-0.12,-5.55,-1.89,10.99
0.92,0.15,-0.16,-7.57,0.24,9.46
0.93,0.14,-0.21,-7.39,3.78,2.81
0.95,0.11,-0.25,-7.08,3.17,0.67
0.94,0.11,-0.26,-7.39,-6.23,-1.71
0.93,0.11,-0.28,-6.71,-8.73,-2.93
0.94,0.11,-0.3,-5.62,-6.77,-3.23
0.96,0.1,-0.3,-2.69,-1.1,-2.5
0.98,0.09,-0.28,-1.04,-1.59,-2.87
0.97,0.09,-0.27,1.46,-3.48,-2.62
0.95,0.09,-0.26,2.01,-4.09,-2.56
0.95,0.09,-0.26,2.2,-4.52,-2.75
0.96,0.08,-0.23,2.32,-4.52,-2.87
0.97,0.08,-0.22,2.62,-5.07,-3.48
0.98,0.08,-0.2,2.69,-3.91,-3.3
0.98,0.08,-0.21,2.44,-1.71,-3.05
0.98,0.08,-0.22,1.95,-2.56,-3.3
0.97,0.08,-0.22,1.46,-3.91,-3.48
0.96,0.08,-0.22,1.1,-3.42,-3.48
0.98,0.08,-0.22,0.92,-2.14,-2.99
0.98,0.08,-0.22,0.31,-1.71,-2.2
0.98,0.08,-0.21,0.06,-2.01,-1.89
0.99,0.08,-0.21,0.18,-2.08,-1.28
