ax,ay,az,gx,gy,gz
0.37,0.46,-0.79,4.58,3.3,0.18
0.37,0.46,-0.79,2.99,3.42,0.67
0.38,0.46,-0.79,2.56,2.5,0.31
0.39,0.46,-0.79,1.83,-1.34,-0.85
0.39,0.47,-0.79,1.28,-2.99,-0.98
0.38,0.47,-0.8,1.04,-5.49,-0.92
0.38,0.47,-0.79,0.92,-5.92,-0.92
0.39,0.47,-0.79,0.79,-5.37,-0.55
0.39,0.47,-0.79,1.28,-2.75,0.79
0.38,0.47,-0.78,1.46,-1.95,0.67
0.38,0.47,-0.78,1.34,-0.12,-0.24
0.37,0.47,-0.78,1.4,1.4,0.12
0.38,0.46,-0.78,1.34,2.62,0.55
0.38,0.46,-0.78,0.79,2.56,0.49
0.38,0.47,-0.79,0.43,1.71,0.43
0.38,0.47,-0.79,0.43,1.16,0.55
0.38,0.47,-0.78,0.61,1.04,0.18
0.38,0.47,-0.78,0.67,0.85,-0.31
0.37,0.47,-0.78,0.18,0.98,-0.73
0.37,0.47,-0.78,-0.12,1.77,-0.67
0.37,0.47,-0.78,-0.12,3.97,-0.61
0.37,0.46,-0.79,0.18,4.46,-0.67
0.36,0.46,-0.75,0.49,4.52,-1.1
0.32,0.42,-0.66,1.22,1.34,-4.27
0.36,0.38,-0.6,-10.8,-7.69,-10.62
0.38,0.44,-0.49,-45.04,-13.92,-16.6
0.61,0.6,-1.23,-15.62,-24.54,-25.7
0.97,0.5,-1.5,28.69,-48.1,-21.0
0.38,0.46,-0.82,20.08,-38.02,11.9
0.11,0.35,-0.56,7.75,-29.42,16.11
0.33,0.4,-0.6,6.16,-24.17,-0.55
0.38,0.5,-0.7,4.94,-19.04,-3.72
0.37,0.51,-0.77,6.47,-7.63,1.04
0.31,0.45,-0.8,6.9,4.94,1.04
0.33,0.45,-0.78,2.75,30.15,11.47
0.42,0.46,-0.76,-1.95,34.06,14.1
0.4,0.48,-0.76,-6.29,31.56,11.84
0.37,0.48,-0.77,-3.91,20.39,5.07
0.32,0.44,-0.75,-1.77,14.95,3.6
0.31,0.44,-0.74,-1.59,2.44,-3.91
0.37,0.49,-0.81,0.12,0.24,-8.85
0.4,0.5,-0.85,4.64,11.29,-4.76
0.48,0.46,-0.82,4.15,15.99,0.49
0.54,0.46,-0.77,2.69,12.88,2.26
0.56,0.46,-0.74,4.82,-4.09,0.61
0.46,0.45,-0.74,6.29,-5.19,1.65
0.4,0.45,-0.76,5.62,8.79,6.9
0.37,0.48,-0.8,4.58,12.02,7.51
0.37,0.48,-0.8,3.85,10.31,6.65
0.37,0.47,-0.8,1.77,6.53,6.16
0.37,0.46,-0.76,0.37,5.92,7.51
0.37,0.46,-0.74,-1.83,1.22,5.49
0.36,0.47,-0.75,-2.75,0.49,2.75
0.35,0.48,-0.76,-3.6,1.65,1.77
0.35,0.49,-0.77,-4.76,2.69,1.46
0.36,0.49,-0.8,-4.09,1.59,0.06
0.37,0.48,-0.81,-1.77,3.36,0.55
0.38,0.47,-0.81,-0.55,5.55,2.62
0.38,0.47,-0.8,0.43,6.16,3.6
0.38,0.46,-0.79,0.12,2.08,1.4
0.37,0.47,-0.78,-0.37,0.12,0.31
0.36,0.47,-0.79,0.18,0.0,-0.55
0.37,0.47,-0.79,0.18,0.31,-0.92
0.38,0.47,-0.79,-0.12,0.43,-1.16
0.39,0.47,-0.78,-0.73,0.24,0.18
0.37,0.47,-0.77,-1.28,-0.43,0.37
0.37,0.47,-0.78,-1.83,-1.22,-1.53
0.39,0.47,-0.8,-1.46,-0.79,-1.83
0.38,0.47,-0.8,-0.92,0.55,-0.49
0.38,0.47,-0.8,-0.61,0.67,-0.31
