ax,ay,az,gx,gy,gz
0.96,0.14,-0.28,-4.27,14.34,1.71
0.96,0.14,-0.28,-4.39,10.68,1.83
0.97,0.14,-0.3,-5.07,-0.31,0.79
0.96,0.15,-0.28,-4.58,-4.94,0.55
0.97,0.15,-0.27,-1.77,-3.78,0.43
0.98,0.15,-0.31,-0.18,-2.99,1.46
0.96,0.15,-0.32,2.87,-6.1,1.4
0.93,0.14,-0.3,3.85,-4.88,1.53
0.94,0.13,-0.28,4.03,-1.59,2.44
0.94,0.12,-0.25,3.3,2.75,2.14
0.96,0.12,-0.22,2.81,3.23,0.92
0.98,0.12,-0.23,2.08,-0.06,-0.92
0.96,0.12,-0.27,1.83,-2.32,-2.01
0.96,0.12,-0.27,1.53,-2.87,-2.14
0.95,0.12,-0.27,0.98,-2.14,-1.04
0.94,0.12,-0.25,0.85,-1.46,-1.04
0.94,0.13,-0.23,1.04,2.56,-0.18
0.97,0.13,-0.21,0.98,3.66,-0.37
0.97,0.14,-0.23,0.73,2.5,-1.28
0.96,0.14,-0.28,0.24,-2.75,-3.17
0.96,0.13,-0.29,0.18,-5.49,-3.48
0.96,0.13,-0.28,0.31,-10.8,-3.6
0.95,0.13,-0.25,0.49,-9.22,-3.05
0.94,0.13,-0.22,0.79,2.01,-0.49
0.97,0.12,-0.21,1.16,5.62,-0.18
0.98,0.12,-0.23,1.53,4.88,0.06
0.97,0.12,-0.27,1.28,3.78,0.67
0.97,0.13,-0.28,0.61,0.73,2.44
0.95,0.14,-0.27,0.67,-1.22,2.75
0.94,0.14,-0.25,0.85,-2.2,2.75
0.9,0.15,-0.21,-0.67,-0.31,2.32
0.91,0.16,-0.12,-5.62,1.77,1.4
0.95,0.17,-0.12,-21.06,-1.65,0.24
0.83,0.27,-0.2,-23.01,-10.93,-3.91
0.73,0.29,-0.23,3.11,14.53,-8.42
0.93,0.03,-0.63,19.84,44.49,-3.11
1.3,-0.08,-0.62,23.32,70.86,14.83
1.32,-0.05,-0.29,13.37,24.78,21.85
1.1,0.06,-0.15,8.0,-32.9,14.04
0.9,0.17,-0.11,0.06,-42.54,-1.59
0.81,0.17,-0.18,-0.43,-9.46,2.62
0.92,0.14,-0.2,2.62,34.36,3.6
0.98,0.17,-0.2,3.05,50.11,8.3
0.94,0.17,-0.23,2.32,62.87,12.15
0.94,0.15,-0.29,0.98,58.72,8.61
0.97,0.13,-0.37,1.59,41.75,4.15
0.96,0.13,-0.33,0.92,5.13,-0.67
0.88,0.16,-0.29,0.67,-0.92,-0.79
0.91,0.15,-0.34,2.14,1.34,0.61
0.95,0.12,-0.38,-1.1,2.99,4.33
0.91,0.17,-0.32,-6.23,-3.3,4.76
0.89,0.19,-0.29,-7.57,-13.79,2.32
0.89,0.19,-0.28,-5.8,-17.94,0.73
0.9,0.18,-0.29,-4.03,-22.34,-1.65
0.91,0.18,-0.28,-3.23,-25.02,-5.0
0.93,0.15,-0.3,-2.81,-24.05,-4.7
0.93,0.14,-0.33,-0.37,-24.35,-5.25
0.93,0.14,-0.34,0.67,-23.38,-5.43
0.93,0.13,-0.33,1.59,-18.49,-4.58
0.93,0.13,-0.29,1.46,-16.85,-4.58
0.93,0.13,-0.28,1.89,-11.9,-5.37
0.95,0.14,-0.24,1.89,-8.85,-5.43
0.97,0.14,-0.24,1.53,-6.9,-5.25
0.98,0.13,-0.25,1.04,-7.08,-5.13
0.99,0.13,-0.27,0.98,-8.36,-5.13
0.99,0.13,-0.27,0.73,-10.62,-5.07
0.97,0.13,-0.24,0.06,-10.5,-4.52
0.97,0.13,-0.24,-0.12,-8.73,-3.23
0.97,0.13,-0.25,0.37,-7.39,-2.69
