ax,ay,az,gx,gy,gz
0.97,0.06,-0.23,-0.18,0.98,-0.12
0.98,0.06,-0.23,-0.12,0.98,-0.06
0.98,0.06,-0.23,0.49,-0.24,0.0
0.97,0.06,-0.24,0.79,-0.67,0.0
0.97,0.06,-0.23,1.04,0.49,0.12
0.98,0.06,-0.23,0.98,1.1,0.18
0.98,0.06,-0.23,0.92,1.04,0.06
0.98,0.06,-0.23,0.61,0.67,-0.24
0.97,0.06,-0.23,0.49,0.98,-0.12
0.97,0.06,-0.23,0.24,1.1,0.31
0.98,0.06,-0.23,0.18,0.73,0.37
0.97,0.06,-0.22,0.12,0.67,0.49
0.97,0.06,-0.23,0.24,0.92,0.49
0.97,0.06,-0.23,0.31,1.1,0.67
0.97,0.06,-0.22,0.18,0.85,0.73
0.97,0.06,-0.23,0.0,0.37,0.55
0.97,0.06,-0.23,-0.06,0.37,0.43
0.97,0.06,-0.23,0.06,0.67,0.37
0.96,0.06,-0.21,0.61,1.95,0.49
0.94,0.09,-0.18,2.26,3.23,0.31
0.97,0.09,-0.21,3.17,-0.12,-3.36
0.82,0.1,-0.13,-0.55,-8.0,-5.0
0.69,0.15,-0.17,15.87,-18.74,-16.85
1.18,-0.08,-0.35,26.25,-10.31,-15.87
1.35,-0.12,-0.26,11.17,41.26,22.64
1.13,0.0,-0.03,5.37,30.4,26.86
1.02,0.1,-0.08,1.4,-0.43,9.28
0.96,0.1,-0.32,0.73,3.11,12.45
0.95,0.06,-0.41,-0.43,2.5,11.72
0.92,0.06,-0.42,-5.37,-11.41,4.27
0.92,0.1,-0.35,-6.77,-3.6,5.98
0.95,0.09,-0.32,-4.03,24.9,9.4
0.94,0.08,-0.17,-2.08,33.26,7.87
0.92,0.09,-0.12,-3.05,27.16,3.6
0.94,0.09,-0.23,-3.54,19.1,0.24
0.98,0.08,-0.3,-3.97,4.64,-1.4
0.96,0.08,-0.32,-5.0,-2.69,-0.49
0.94,0.07,-0.34,-2.75,-17.15,0.55
0.98,0.04,-0.35,-0.31,-23.13,1.1
0.96,0.07,-0.27,-0.37,-25.88,2.69
0.92,0.09,-0.18,-4.27,-20.81,6.77
0.9,0.09,-0.13,-4.94,-15.69,6.16
0.91,0.09,-0.18,-2.2,-3.05,1.1
0.95,0.07,-0.24,-1.04,0.31,-0.37
0.96,0.07,-0.25,-2.44,-5.49,-2.2
0.95,0.08,-0.25,-4.21,-10.8,-2.93
0.94,0.07,-0.25,-5.43,-15.81,-4.09
0.95,0.07,-0.25,-4.21,-17.03,-7.63
0.96,0.06,-0.24,-0.55,-5.68,-7.39
0.98,0.06,-0.24,0.79,-1.83,-6.96
0.97,0.06,-0.23,1.59,0.49,-6.35
0.98,0.06,-0.22,1.34,0.24,-6.04
0.99,0.06,-0.23,1.1,-1.1,-5.92
0.99,0.06,-0.23,0.92,-3.54,-5.07
0.99,0.06,-0.2,1.04,-3.48,-4.09
1.0,0.06,-0.19,1.95,-2.5,-2.26
1.0,0.06,-0.2,2.32,-1.89,-1.4
0.99,0.06,-0.21,2.32,-2.01,-0.67
0.98,0.06,-0.21,1.83,-2.32,-0.61
0.98,0.06,-0.21,0.67,-2.62,-0.49
0.98,0.06,-0.21,0.31,-1.95,-0.31
0.98,0.07,-0.2,0.12,1.04,0.06
0.98,0.07,-0.21,-0.06,1.46,-0.12
0.99,0.07,-0.22,-0.43,0.79,-0.37
0.99,0.07,-0.22,-1.1,-0.92,-0.24
0.98,0.07,-0.23,-1.16,-1.28,-0.06
0.98,0.07,-0.22,-1.1,0.18,0.67
0.99,0.06,-0.21,-0.98,0.55,1.04
0.99,0.06,-0.22,-0.67,0.06,1.1
