ax,ay,az,gx,gy,gz
0.36,0.77,-0.52,0.85,1.16,0.43
0.35,0.77,-0.52,1.1,1.46,0.31
0.35,0.77,-0.52,1.28,2.44,0.24
0.35,0.77,-0.52,1.46,2.56,0.06
0.35,0.77,-0.52,1.77,2.32,-0.18
0.35,0.77,-0.52,2.32,2.01,-0.24
0.35,0.77,-0.51,2.2,2.26,-0.31
0.35,0.77,-0.5,1.71,3.36,-0.67
0.36,0.77,-0.5,1.46,3.42,-0.79
0.36,0.77,-0.5,1.28,2.69,-0.73
0.37,0.77,-0.5,1.04,0.73,-0.06
0.36,0.77,-0.5,0.98,0.49,0.37
0.35,0.77,-0.5,0.98,1.04,0.79
0.36,0.77,-0.5,0.61,1.71,0.79
0.35,0.77,-0.49,-0.06,2.44,0.85
0.34,0.77,-0.48,-0.12,4.7,-0.06
0.36,0.77,-0.5,1.28,5.55,-1.22
0.38,0.77,-0.53,-0.37,4.27,-0.79
0.36,0.78,-0.53,-2.93,2.26,0.92
0.34,0.77,-0.52,-3.11,1.89,1.4
0.34,0.76,-0.52,-2.08,3.3,1.4
0.37,0.77,-0.52,-0.79,3.78,1.77
0.38,0.77,-0.51,0.49,2.2,2.08
0.34,0.77,-0.49,-0.06,2.2,1.89
0.33,0.77,-0.5,-0.43,3.17,0.43
0.33,0.8,-0.46,1.95,3.11,-0.12
0.33,0.81,-0.46,17.52,8.85,-5.07
0.42,0.78,-0.43,12.02,9.46,-6.35
0.4,0.78,-0.35,-0.37,2.87,-6.16
0.34,0.8,-0.32,5.19,-40.71,-21.06
0.37,0.78,-0.92,36.25,-27.89,-26.98
0.2,0.82,-0.99,38.64,95.58,23.5
0.42,0.74,-0.37,19.96,119.51,50.54
0.58,0.7,-0.27,8.18,89.23,48.03
0.53,0.69,-0.35,-3.78,-49.19,-21.97
0.15,0.8,-0.53,-11.29,-78.8,-36.5
0.08,0.81,-0.52,-19.47,-17.7,-5.49
0.25,0.74,-0.48,-19.41,20.2,7.63
0.35,0.75,-0.52,-18.13,29.72,4.46
0.39,0.82,-0.63,-15.2,20.57,0.67
0.38,0.82,-0.65,-10.25,17.94,2.32
0.38,0.78,-0.61,-3.85,15.26,10.25
0.39,0.74,-0.47,-4.15,0.85,6.29
0.38,0.75,-0.44,-6.35,-34.85,-7.87
0.34,0.78,-0.52,-5.8,-40.22,-10.01
0.35,0.79,-0.57,-1.65,-25.33,-3.6
0.39,0.79,-0.52,0.85,-15.32,0.55
0.37,0.78,-0.49,2.32,-8.12,3.42
0.35,0.77,-0.47,1.46,-5.74,4.21
0.35,0.76,-0.46,-0.24,-10.56,2.01
0.34,0.76,-0.47,-3.05,-18.01,-2.62
0.31,0.77,-0.49,-3.54,-17.03,-2.87
0.31,0.77,-0.5,-2.99,-9.64,-2.38
0.34,0.78,-0.53,-2.01,-5.43,-2.32
0.35,0.78,-0.53,-1.04,-1.4,-1.46
0.37,0.78,-0.52,-0.61,2.08,0.85
0.39,0.77,-0.5,-1.04,0.49,0.98
0.38,0.76,-0.5,-1.28,-4.82,0.12
0.35,0.76,-0.51,-1.34,-5.8,-0.18
0.35,0.77,-0.51,-1.65,-3.17,0.12
0.35,0.77,-0.52,-1.4,-1.59,0.37
0.36,0.77,-0.53,-1.04,-0.61,0.61
0.36,0.77,-0.53,-0.43,-0.79,1.04
0.36,0.77,-0.52,-0.24,-1.71,1.1
0.35,0.76,-0.52,0.06,-2.38,0.67
0.35,0.76,-0.51,0.06,-1.77,0.67
0.35,0.76,-0.51,-0.31,-0.31,0.55
0.35,0.77,-0.5,-0.43,-0.18,0.06
0.36,0.77,-0.51,-0.24,-0.61,-0.61
