ax,ay,az,gx,gy,gz
0.56,0.74,-0.35,0.43,-0.43,-0.67
0.57,0.74,-0.34,0.18,-0.24,-0.55
0.57,0.74,-0.34,-0.61,0.24,0.31
0.56,0.74,-0.34,-0.55,0.24,0.06
0.56,0.74,-0.34,-0.43,0.31,-0.18
0.56,0.74,-0.34,-0.43,0.24,0.18
0.56,0.74,-0.34,-0.31,0.24,-0.06
0.56,0.74,-0.34,0.37,1.16,-0.61
0.57,0.74,-0.35,0.61,1.53,-0.49
0.57,0.73,-0.35,0.73,1.53,-0.49
0.58,0.73,-0.35,0.37,1.1,-0.18
0.58,0.73,-0.34,0.24,0.61,-0.06
0.58,0.73,-0.34,0.98,1.22,-0.73
0.57,0.74,-0.33,1.65,2.93,-0.37
0.58,0.74,-0.34,2.32,4.33,-0.06
0.59,0.73,-0.34,1.89,3.05,0.12
0.57,0.74,-0.34,1.34,1.89,0.61
0.57,0.73,-0.35,0.73,0.98,0.92
0.56,0.73,-0.35,0.43,0.85,0.92
0.56,0.73,-0.34,0.12,0.67,0.85
0.56,0.74,-0.32,0.12,0.61,0.24
0.55,0.74,-0.32,0.31,1.22,-0.55
0.55,0.74,-0.33,0.55,4.58,-0.79
0.58,0.75,-0.34,0.31,3.85,-0.24
0.55,0.77,-0.32,6.59,0.24,-3.11
0.58,0.78,-0.34,9.28,-0.06,-6.53
0.56,0.77,-0.3,4.52,-0.18,-8.12
0.52,0.74,-0.23,3.11,-9.89,-11.41
0.49,0.71,-0.4,23.86,-12.27,-14.65
0.52,0.76,-0.55,45.35,49.01,-3.66
0.74,0.71,-0.44,26.25,70.98,13.12
0.76,0.68,-0.3,5.92,56.03,22.16
0.71,0.67,-0.23,-10.31,-23.62,-1.16
0.46,0.75,-0.28,-13.49,-42.3,-10.62
0.42,0.77,-0.32,-12.88,-16.97,0.31
0.48,0.75,-0.31,-11.29,-0.85,4.03
0.51,0.73,-0.31,-12.33,13.49,1.16
0.6,0.76,-0.41,-12.02,18.43,3.23
0.66,0.75,-0.43,-8.54,26.0,7.39
0.68,0.74,-0.39,-3.66,26.06,11.96
0.6,0.72,-0.3,-4.21,13.0,8.0
0.57,0.72,-0.31,-7.26,-11.05,1.4
0.54,0.72,-0.35,-8.42,-16.48,1.53
0.53,0.76,-0.38,-1.65,-13.55,-1.53
0.54,0.77,-0.39,-0.85,-6.65,0.49
0.57,0.75,-0.36,-2.62,-3.78,4.09
0.56,0.73,-0.34,-4.15,-18.13,0.43
0.52,0.74,-0.35,-3.6,-22.22,-2.87
0.51,0.75,-0.35,-2.93,-13.37,-1.71
0.52,0.75,-0.34,-2.87,-9.28,-1.46
0.53,0.75,-0.34,-1.53,-7.32,-3.48
0.56,0.75,-0.36,-0.37,-6.84,-3.97
0.57,0.75,-0.37,0.37,-5.86,-3.66
0.58,0.74,-0.36,0.73,-2.87,-1.65
0.6,0.73,-0.34,0.61,-1.71,-0.85
0.61,0.72,-0.33,0.73,-1.77,0.12
0.6,0.73,-0.34,0.98,-3.3,0.49
0.58,0.73,-0.34,1.1,-5.07,0.37
0.56,0.74,-0.34,0.98,-3.91,0.49
0.55,0.74,-0.34,0.67,-2.32,0.61
0.56,0.74,-0.34,0.06,-1.89,0.37
0.57,0.74,-0.34,0.06,-3.11,0.24
0.57,0.73,-0.33,-0.06,-4.15,0.0
0.56,0.73,-0.33,-0.18,-3.17,-0.31
0.56,0.74,-0.34,-0.12,-1.95,-0.55
0.56,0.74,-0.35,0.67,-0.73,-0.67
0.57,0.74,-0.35,0.85,-0.61,-0.67
0.58,0.74,-0.35,0.49,-0.98,-0.31
0.58,0.74,-0.34,0.24,-1.22,0.12
0.57,0.73,-0.33,-0.31,-1.04,0.61
