ax,ay,az,gx,gy,gz
0.64,0.72,0.25,0.06,0.55,-0.18
0.64,0.73,0.25,-0.24,0.18,-0.12
0.64,0.73,0.25,-0.49,-0.24,0.31
0.62,0.73,0.25,-0.31,-0.12,0.18
0.63,0.73,0.24,0.0,0.37,0.06
0.63,0.73,0.24,0.55,1.28,-0.06
0.63,0.73,0.24,0.55,0.92,-0.24
0.63,0.73,0.24,0.55,0.24,-0.18
0.63,0.73,0.25,0.49,-0.55,-0.12
0.63,0.73,0.25,0.37,-0.18,-0.12
0.62,0.72,0.24,-0.18,0.06,-0.12
0.62,0.72,0.25,-0.55,-0.79,-0.43
0.64,0.72,0.26,-0.43,-1.77,-0.49
0.66,0.74,0.25,-0.31,-1.4,0.0
0.64,0.73,0.25,-0.18,-2.99,0.67
0.61,0.73,0.25,0.31,-2.38,-0.31
0.63,0.73,0.25,0.67,0.49,-0.37
0.64,0.72,0.25,0.73,4.82,0.92
0.65,0.72,0.24,0.55,3.48,0.85
0.64,0.73,0.24,-0.12,-0.18,0.55
0.62,0.73,0.25,-0.24,-0.98,0.37
0.62,0.73,0.26,-0.12,-1.4,0.06
0.63,0.73,0.26,0.43,-0.37,-0.49
0.64,0.73,0.26,0.92,1.1,-0.24
0.64,0.73,0.26,1.34,4.09,-0.18
0.64,0.73,0.25,1.53,4.46,-0.18
0.64,0.72,0.24,1.53,1.28,0.24
0.62,0.73,0.25,1.4,-0.31,0.06
0.62,0.73,0.27,2.14,1.77,-0.06
0.62,0.73,0.28,2.5,4.15,0.37
0.61,0.75,0.27,4.21,5.37,0.43
0.62,0.75,0.21,4.7,-5.19,-5.8
0.62,0.73,0.31,-6.29,-14.71,-7.69
0.5,0.8,0.45,-9.03,-24.54,-8.85
0.52,0.72,0.17,9.28,-14.16,-13.37
0.85,0.66,0.11,21.85,24.9,-10.86
1.02,0.66,0.23,2.93,84.29,21.91
0.75,0.72,0.32,-11.41,39.67,17.03
0.58,0.7,0.19,-11.23,-51.33,-2.14
0.48,0.72,0.07,-2.2,-35.58,0.06
0.54,0.74,0.13,3.17,-4.09,4.58
0.61,0.73,0.18,2.81,18.62,5.37
0.64,0.72,0.18,3.05,17.4,5.25
0.63,0.71,0.2,8.61,18.74,5.86
0.64,0.71,0.26,11.23,17.46,3.78
0.7,0.74,0.26,10.31,19.47,1.65
0.68,0.73,0.37,-2.38,23.62,5.19
0.54,0.73,0.37,-13.55,18.37,8.24
0.56,0.7,0.23,-3.17,-5.86,-4.64
0.6,0.71,0.2,2.5,-8.0,-5.92
0.69,0.75,0.23,4.64,5.49,2.01
0.71,0.74,0.26,2.32,-2.01,4.03
0.65,0.72,0.3,-0.12,-11.54,2.87
0.62,0.72,0.28,-3.11,-20.32,-0.43
0.56,0.74,0.25,-5.13,-20.75,-1.59
0.56,0.76,0.24,-7.69,-16.6,-5.13
0.61,0.76,0.22,-6.84,-13.06,-5.0
0.62,0.75,0.22,-5.62,-10.07,-4.33
0.63,0.74,0.22,-4.03,-5.74,-2.2
0.66,0.73,0.22,-2.87,-4.21,-0.92
0.66,0.73,0.21,-0.79,-0.98,-0.49
0.66,0.72,0.2,-0.24,-0.24,0.12
0.67,0.71,0.2,0.49,-1.22,0.43
0.66,0.72,0.22,1.16,-4.09,0.06
0.64,0.73,0.25,0.67,-2.81,0.37
0.64,0.73,0.26,0.67,1.77,0.98
0.64,0.73,0.24,1.04,1.71,1.34
0.64,0.74,0.24,1.1,-0.67,2.14
0.63,0.74,0.24,1.16,-0.85,2.81
0.62,0.74,0.24,1.4,-0.12,3.11
