ax,ay,az,gx,gy,gz
0.74,0.67,0.05,0.61,0.55,-0.12
0.74,0.67,0.05,0.79,0.18,0.06
0.73,0.68,0.05,0.79,-0.24,0.06
0.73,0.67,0.05,0.85,-0.61,-0.06
0.73,0.67,0.05,0.67,-0.49,0.18
0.73,0.67,0.05,0.55,-0.37,0.37
0.73,0.67,0.05,0.43,-0.24,0.37
0.74,0.68,0.05,0.31,-0.12,0.49
0.74,0.68,0.05,0.49,0.12,0.73
0.73,0.67,0.05,1.16,0.12,0.85
0.73,0.67,0.05,1.22,0.12,0.85
0.73,0.67,0.05,1.1,0.49,1.1
0.73,0.67,0.06,1.16,0.67,0.92
0.73,0.67,0.06,1.28,0.92,0.73
0.73,0.67,0.06,1.71,1.16,0.37
0.73,0.67,0.05,1.65,1.1,0.0
0.74,0.67,0.05,0.92,0.49,0.24
0.73,0.67,0.05,0.55,-0.12,0.24
0.72,0.68,0.05,0.31,-0.12,0.18
0.72,0.68,0.05,0.31,1.04,0.37
0.73,0.68,0.05,0.31,1.4,0.37
0.74,0.68,0.05,0.37,1.4,0.24
0.73,0.68,0.04,0.73,0.55,0.12
0.72,0.68,0.05,0.79,0.06,-0.12
0.72,0.69,0.08,5.8,2.62,-0.98
0.7,0.72,0.04,10.56,6.29,-3.36
0.75,0.68,0.1,8.73,6.16,-4.82
0.78,0.67,0.22,-0.31,-19.84,-3.91
0.52,0.72,0.17,5.37,-26.61,-11.17
0.62,0.73,-0.16,29.17,11.29,-22.58
1.16,0.57,-0.18,21.85,34.61,0.79
0.98,0.54,0.0,10.25,20.39,23.5
0.77,0.57,0.1,-1.83,-64.45,-12.27
0.56,0.68,0.07,-3.85,-60.97,-13.18
0.64,0.66,0.05,-5.68,-6.71,5.37
0.72,0.66,0.06,-7.14,0.37,5.25
0.7,0.68,0.08,-8.61,-0.73,4.27
0.68,0.69,0.09,-7.39,3.48,7.32
0.67,0.68,0.12,-5.62,6.35,5.49
0.7,0.7,0.14,-2.01,15.44,2.75
0.76,0.69,0.14,-0.18,23.13,5.49
0.76,0.67,0.11,1.34,25.82,6.71
0.7,0.66,0.04,3.97,7.57,-3.42
0.68,0.65,0.02,4.39,-2.14,-7.08
0.7,0.66,0.02,4.09,-2.44,-5.98
0.82,0.68,0.04,2.62,1.59,-2.93
0.83,0.67,0.08,-1.71,-1.65,4.09
0.75,0.66,0.13,-3.05,-8.0,3.05
0.72,0.66,0.13,-4.09,-12.51,0.79
0.7,0.67,0.12,-5.25,-13.92,-2.2
0.71,0.68,0.09,-5.19,-12.33,-2.75
0.71,0.68,0.09,-5.13,-5.0,-0.49
0.72,0.69,0.09,-5.43,-1.71,0.92
0.72,0.68,0.08,-4.7,-0.12,1.65
0.74,0.67,0.05,-4.03,-0.18,1.34
0.74,0.66,0.04,-3.48,-0.92,0.55
0.74,0.66,0.04,-2.5,-4.58,-1.95
0.73,0.67,0.04,-1.77,-4.52,-1.89
0.73,0.67,0.05,-0.24,2.87,0.85
0.74,0.67,0.08,0.37,4.27,1.16
0.73,0.67,0.08,0.49,2.08,0.0
0.72,0.68,0.08,0.31,-1.77,-1.83
0.73,0.68,0.07,0.61,-1.28,-1.34
0.74,0.67,0.07,1.16,-0.37,-0.79
0.74,0.67,0.07,0.85,0.06,-0.37
0.74,0.67,0.07,0.49,0.31,0.18
0.74,0.67,0.07,0.24,-1.28,-0.12
0.73,0.67,0.08,0.12,-2.14,-0.37
0.73,0.67,0.08,0.31,-2.01,-0.43
0.73,0.67,0.08,0.49,-0.92,-0.12
0.73,0.67,0.08,0.49,0.18,0.24
