ax,ay,az,gx,gy,gz
0.56,0.61,0.56,-0.67,-2.32,-0.37
0.56,0.61,0.56,-0.43,-2.14,-0.37
0.55,0.6,0.55,-0.12,-1.16,-0.55
0.55,0.6,0.55,0.12,-0.73,-0.79
0.56,0.6,0.56,0.24,0.24,-0.79
0.57,0.61,0.57,0.0,0.79,-0.55
0.57,0.61,0.58,-0.18,0.92,-0.37
0.56,0.6,0.57,-0.43,0.49,-0.37
0.56,0.6,0.57,-0.49,0.31,-0.43
0.56,0.6,0.56,-0.12,-1.77,-1.04
0.56,0.61,0.56,0.12,-2.62,-1.4
0.56,0.61,0.56,0.31,-1.04,-0.92
0.57,0.61,0.56,0.43,0.18,-0.55
0.57,0.61,0.56,0.31,1.4,0.18
0.57,0.6,0.56,0.18,1.28,0.37
0.57,0.6,0.56,0.06,0.67,0.43
0.56,0.6,0.56,0.06,0.55,0.55
0.56,0.6,0.56,0.12,1.28,0.49
0.56,0.6,0.57,0.18,1.16,0.12
0.57,0.6,0.57,0.12,-0.12,0.0
0.57,0.6,0.57,0.12,-1.28,0.0
0.56,0.61,0.57,0.31,-0.85,0.24
0.56,0.6,0.56,0.37,0.18,0.37
0.56,0.6,0.56,0.37,1.28,0.55
0.56,0.61,0.56,0.31,1.53,0.55
0.57,0.6,0.56,0.12,1.53,0.49
0.57,0.6,0.56,-0.12,0.24,0.55
0.56,0.61,0.55,0.06,-0.31,0.43
0.55,0.61,0.55,0.55,1.16,0.67
0.56,0.61,0.55,0.73,2.26,0.92
0.56,0.61,0.56,0.98,2.69,0.98
0.56,0.61,0.56,2.08,3.17,0.67
0.53,0.64,0.62,4.58,5.43,0.31
0.54,0.62,0.6,0.61,0.31,-2.38
0.18,0.67,0.65,-2.75,-4.94,-6.65
0.2,0.67,0.49,11.23,-1.28,-15.56
0.64,0.57,0.4,27.34,54.02,-7.87
1.13,0.54,0.78,4.33,81.97,20.14
1.02,0.56,0.81,-23.25,-5.31,14.53
0.49,0.6,0.4,-20.26,-58.53,-5.49
0.35,0.55,0.29,-13.37,-68.48,-7.02
0.35,0.52,0.32,-6.29,-8.85,6.1
0.55,0.61,0.48,-4.76,17.03,9.22
0.62,0.63,0.53,1.4,19.29,5.68
0.65,0.59,0.51,6.47,4.27,0.73
0.7,0.58,0.57,-5.55,-5.8,5.19
0.4,0.7,0.67,-17.4,-8.06,8.48
0.39,0.63,0.53,-11.72,-11.72,-0.24
0.47,0.58,0.46,7.81,17.27,-2.99
0.59,0.62,0.57,8.3,28.93,4.76
0.61,0.62,0.58,8.97,17.21,3.36
0.66,0.57,0.51,9.52,7.51,2.93
0.65,0.58,0.54,7.32,-3.97,2.08
0.59,0.61,0.59,-1.59,-25.33,-1.4
0.46,0.64,0.63,-4.21,-23.32,-1.53
0.44,0.63,0.61,-5.37,-4.03,-2.38
0.52,0.62,0.56,-5.19,1.1,-4.15
0.56,0.62,0.55,-4.94,2.08,-5.0
0.58,0.63,0.54,-4.39,-0.79,-2.56
0.58,0.62,0.5,-3.78,-4.27,-1.16
0.57,0.61,0.49,-1.04,-9.58,-1.34
0.56,0.6,0.52,0.06,-9.46,-1.83
0.56,0.6,0.54,1.22,-7.87,-3.17
0.56,0.61,0.56,1.22,-6.16,-3.6
0.56,0.61,0.56,1.1,-4.09,-3.72
0.57,0.6,0.57,0.98,-1.95,-3.97
0.57,0.6,0.57,1.16,-1.59,-3.78
0.57,0.61,0.57,1.59,-0.12,-2.69
0.57,0.61,0.58,1.71,0.85,-1.95
0.58,0.61,0.58,1.34,0.85,-0.61
0.59,0.6,0.58,0.73,-0.55,0.0
