ax,ay,az,gx,gy,gz
0.42,0.84,-0.3,1.28,0.0,1.04
0.42,0.84,-0.3,1.16,0.24,1.1
0.42,0.84,-0.3,1.34,0.06,0.98
0.42,0.84,-0.3,1.28,-0.06,1.16
0.42,0.84,-0.3,1.16,0.43,1.22
0.42,0.84,-0.3,1.22,0.79,1.16
0.42,0.84,-0.3,1.22,0.43,1.1
0.42,0.84,-0.3,1.1,0.0,1.22
0.42,0.85,-0.29,0.92,-0.24,1.16
0.41,0.85,-0.29,0.85,-0.61,1.16
0.42,0.84,-0.3,0.61,0.06,1.16
0.41,0.85,-0.3,0.49,0.43,1.04
0.42,0.84,-0.29,0.37,0.12,0.61
0.41,0.84,-0.3,0.18,-0.18,0.55
0.42,0.84,-0.3,0.31,-0.49,0.55
0.42,0.85,-0.3,0.12,-0.49,0.79
0.42,0.85,-0.3,0.24,-0.12,0.79
0.42,0.84,-0.3,0.24,0.37,0.61
0.42,0.85,-0.3,0.49,0.79,0.67
0.42,0.84,-0.3,0.55,0.0,0.85
0.42,0.84,-0.3,0.49,-0.31,0.98
0.41,0.84,-0.3,0.43,0.43,0.92
0.41,0.84,-0.3,0.37,0.73,0.61
0.41,0.85,-0.3,0.37,0.31,0.49
0.41,0.85,-0.3,0.37,-0.24,0.24
0.41,0.85,-0.3,0.31,-0.31,0.43
0.42,0.84,-0.3,0.18,0.31,0.43
0.42,0.84,-0.3,0.06,0.49,0.24
0.42,0.84,-0.3,0.31,0.37,0.12
0.42,0.85,-0.31,0.55,0.49,0.18
0.42,0.84,-0.3,0.79,0.49,0.06
0.42,0.85,-0.3,0.85,0.43,0.43
0.42,0.85,-0.3,0.61,1.1,0.49
0.41,0.85,-0.3,0.67,1.4,0.49
0.41,0.85,-0.3,0.73,1.16,0.31
0.41,0.85,-0.29,0.61,0.98,0.06
0.41,0.84,-0.29,0.49,-0.18,-0.06
0.42,0.85,-0.3,0.43,-0.37,-0.12
0.42,0.85,-0.3,0.43,0.31,-0.06
0.42,0.85,-0.3,0.55,0.98,0.0
0.43,0.85,-0.3,0.85,1.1,0.18
0.42,0.85,-0.3,0.73,1.16,0.49
0.42,0.84,-0.3,0.73,0.92,0.55
0.41,0.85,-0.3,0.73,0.79,0.61
0.41,0.85,-0.3,0.73,1.34,0.49
0.41,0.84,-0.3,0.79,1.04,0.24
0.41,0.84,-0.3,0.73,0.43,0.06
0.41,0.85,-0.3,0.73,0.55,0.06
0.42,0.85,-0.3,0.61,0.61,-0.06
0.42,0.85,-0.3,0.61,0.61,-0.18
0.42,0.84,-0.3,0.79,0.67,-0.55
0.41,0.84,-0.3,0.98,0.79,-0.61
0.41,0.85,-0.29,0.85,1.53,-0.43
0.42,0.85,-0.29,0.79,1.22,-0.24
0.42,0.85,-0.3,0.67,0.49,0.18
0.42,0.85,-0.3,0.43,0.43,0.31
0.41,0.85,-0.3,0.49,0.24,0.37
0.41,0.84,-0.3,0.55,-0.43,0.55
0.41,0.84,-0.3,0.67,-0.43,0.43
0.41,0.84,-0.3,0.61,0.67,0.31
0.41,0.84,-0.3,0.67,1.34,0.12
0.41,0.85,-0.3,0.61,1.46,-0.18
0.41,0.84,-0.3,0.43,1.46,-0.06
0.42,0.85,-0.29,0.49,0.98,0.12
0.41,0.85,-0.3,0.49,0.79,0.12
0.41,0.85,-0.3,0.43,0.55,0.43
0.41,0.85,-0.3,0.55,0.73,0.43
0.41,0.85,-0.3,0.73,1.04,0.37
0.42,0.85,-0.3,0.67,0.73,0.06
0.42,0.85,-0.3,0.67,0.31,0.0
0.42,0.85,-0.3,0.79,0.0,0.24
