ax,ay,az,gx,gy,gz
0.69,0.45,-0.55,-0.12,0.31,-0.06
0.69,0.46,-0.56,-0.12,-0.18,-0.18
0.69,0.46,-0.56,0.06,0.67,0.06
0.69,0.46,-0.56,0.06,1.1,0.18
0.69,0.46,-0.56,0.06,0.73,0.31
0.69,0.45,-0.55,0.0,0.18,0.37
0.69,0.45,-0.55,-0.12,-0.24,0.24
0.69,0.46,-0.55,0.06,-0.49,0.0
0.69,0.46,-0.56,0.18,0.0,0.12
0.69,0.46,-0.56,0.06,1.22,0.55
0.69,0.46,-0.55,0.0,1.1,0.61
0.68,0.46,-0.55,0.06,0.31,0.55
0.68,0.46,-0.55,0.37,-0.85,0.0
0.68,0.46,-0.55,0.55,-0.61,-0.31
0.68,0.46,-0.55,0.43,0.43,-0.24
0.69,0.45,-0.55,0.37,0.55,-0.37
0.69,0.45,-0.56,0.61,0.31,-0.67
0.69,0.45,-0.56,1.04,-0.12,-0.79
0.69,0.46,-0.55,0.92,0.0,-0.67
0.69,0.46,-0.55,0.67,0.73,-0.55
0.7,0.46,-0.55,0.61,0.85,-0.37
0.7,0.46,-0.55,0.18,0.73,0.0
0.69,0.45,-0.55,0.06,0.92,-0.18
0.69,0.45,-0.55,0.06,1.4,-0.31
0.69,0.45,-0.56,-0.06,2.08,0.06
0.67,0.47,-0.49,1.16,2.08,0.24
0.64,0.5,-0.44,23.99,6.1,-8.18
0.77,0.43,-0.53,30.21,11.47,-12.45
0.7,0.46,-0.51,21.48,22.34,-4.39
0.6,0.51,-0.61,29.85,31.49,3.54
0.77,0.48,-0.78,33.75,33.45,-3.85
0.72,0.5,-0.67,14.22,47.85,23.01
0.71,0.39,-0.44,5.92,32.78,23.68
0.71,0.43,-0.41,0.55,12.82,12.27
0.66,0.48,-0.44,-7.08,-18.98,-3.42
0.56,0.51,-0.56,-10.25,-20.81,-3.3
0.57,0.49,-0.57,-18.13,-7.39,-0.49
0.63,0.47,-0.59,-20.51,-3.72,-0.49
0.65,0.47,-0.62,-19.41,-7.2,-3.6
0.66,0.47,-0.62,-18.49,-8.67,-4.15
0.67,0.47,-0.61,-17.46,-6.77,-2.56
0.68,0.47,-0.6,-12.82,-3.11,1.28
0.67,0.45,-0.55,-10.56,-6.04,-0.37
0.65,0.46,-0.55,-6.9,-12.94,-6.23
0.65,0.47,-0.61,-4.15,-13.49,-7.08
0.67,0.48,-0.64,0.24,-7.2,-4.46
0.68,0.47,-0.63,0.0,-1.89,-2.01
0.74,0.45,-0.58,-1.28,2.08,1.59
0.74,0.44,-0.55,-2.32,-3.36,3.85
0.69,0.44,-0.53,-2.08,-10.19,0.98
0.67,0.46,-0.54,0.18,-13.85,-2.44
0.67,0.47,-0.56,1.77,-9.16,-1.04
0.68,0.47,-0.56,2.69,-3.3,0.79
0.68,0.46,-0.55,2.26,2.75,1.71
0.69,0.45,-0.54,1.65,1.89,1.16
0.69,0.45,-0.54,0.55,-1.46,0.92
0.69,0.45,-0.54,0.0,-2.75,1.16
0.69,0.45,-0.54,-0.49,-4.09,0.79
0.68,0.45,-0.54,-1.34,-4.7,-0.31
0.67,0.46,-0.54,-1.34,-3.05,-0.37
0.67,0.46,-0.55,-0.61,0.85,-0.43
0.69,0.46,-0.56,-0.67,1.53,-0.37
0.7,0.45,-0.56,-1.34,-0.61,0.0
0.69,0.45,-0.57,-1.28,-1.83,0.06
0.69,0.45,-0.57,-0.92,-2.14,0.18
0.68,0.45,-0.56,-0.12,-0.55,0.92
0.68,0.46,-0.56,0.43,0.24,1.1
0.68,0.46,-0.56,0.73,0.18,0.49
0.68,0.46,-0.57,-0.06,0.12,0.37
0.68,0.46,-0.57,-0.37,0.37,0.37
0.68,0.46,-0.57,-0.12,-0.67,0.31
