ax,ay,az,gx,gy,gz
0.63,0.64,-0.47,4.15,-5.07,-1.1
0.62,0.63,-0.46,4.21,-4.52,-0.12
0.62,0.63,-0.46,3.72,-3.36,0.98
0.63,0.63,-0.47,3.05,-2.69,1.59
0.62,0.64,-0.47,2.01,-2.44,2.44
0.61,0.63,-0.46,-1.77,-4.7,3.66
0.61,0.63,-0.47,-3.17,-6.04,3.72
0.63,0.64,-0.49,-1.77,-1.71,4.33
0.67,0.65,-0.52,-0.31,2.56,6.16
0.66,0.66,-0.52,1.59,4.88,9.03
0.6,0.67,-0.49,2.26,3.42,8.91
0.58,0.67,-0.49,2.99,2.5,8.3
0.56,0.67,-0.49,4.46,3.42,7.14
0.55,0.66,-0.48,4.64,3.23,6.16
0.55,0.66,-0.48,4.09,2.93,3.72
0.55,0.65,-0.46,3.85,4.27,2.87
0.57,0.64,-0.45,3.3,4.82,1.34
0.59,0.63,-0.43,2.81,2.99,0.55
0.58,0.64,-0.43,2.26,1.89,0.24
0.58,0.64,-0.44,1.83,4.27,0.67
0.59,0.65,-0.44,1.71,5.25,1.22
0.59,0.65,-0.43,1.04,3.48,1.1
0.57,0.65,-0.42,0.67,2.81,0.61
0.57,0.66,-0.42,0.49,3.05,0.31
0.57,0.65,-0.43,0.06,3.72,-0.18
0.56,0.66,-0.43,-0.12,3.05,-0.24
0.54,0.65,-0.36,-6.04,4.21,0.0
0.63,0.64,-0.31,-23.56,-8.79,-4.46
0.53,0.73,-0.4,-30.09,-33.33,-8.54
0.37,0.72,-0.63,-22.46,-54.75,-12.15
0.59,0.56,-0.94,33.81,31.68,2.5
0.91,0.57,-0.79,48.71,117.49,18.01
0.9,0.61,-0.45,21.36,117.0,38.09
0.7,0.63,-0.2,10.8,44.62,18.55
0.49,0.72,-0.4,-1.28,-59.94,-17.03
0.37,0.7,-0.48,-3.91,-53.89,-11.72
0.45,0.66,-0.46,-8.48,7.51,-1.4
0.5,0.67,-0.43,-12.51,25.82,0.06
0.52,0.65,-0.46,-13.85,27.47,-4.33
0.71,0.63,-0.61,-10.56,21.12,-6.9
0.78,0.63,-0.62,-6.59,1.89,-0.92
0.69,0.64,-0.52,-6.41,-10.56,2.87
0.6,0.64,-0.5,-2.87,-23.25,3.6
0.5,0.66,-0.5,-2.69,-22.09,5.55
0.49,0.68,-0.5,-2.93,-19.47,7.75
0.5,0.69,-0.49,-1.34,-13.06,5.68
0.55,0.68,-0.47,-0.73,-10.74,4.33
0.58,0.67,-0.47,1.77,-15.44,0.61
0.55,0.65,-0.48,2.26,-20.57,-1.89
0.53,0.64,-0.48,0.24,-23.74,-3.11
0.53,0.63,-0.47,-0.79,-20.39,-2.81
0.53,0.64,-0.49,-0.24,-8.0,-3.72
0.56,0.64,-0.53,0.61,-2.99,-3.3
0.59,0.64,-0.52,1.22,-1.04,-2.14
0.6,0.64,-0.5,2.38,-3.78,-1.46
0.6,0.64,-0.46,2.62,-5.68,-1.71
0.6,0.64,-0.44,0.98,-8.91,-1.59
0.58,0.64,-0.41,-0.06,-10.74,-2.2
0.57,0.64,-0.41,-1.34,-12.27,-4.58
0.57,0.65,-0.43,-2.08,-10.93,-5.43
0.58,0.65,-0.45,-2.5,-6.16,-4.7
0.6,0.64,-0.47,-2.14,-5.13,-3.72
0.61,0.64,-0.47,-1.28,-6.47,-3.05
0.6,0.65,-0.46,-1.04,-6.9,-2.56
0.6,0.65,-0.45,-0.79,-5.98,-2.01
0.6,0.65,-0.45,-0.12,-2.26,-1.28
0.61,0.65,-0.45,-0.31,-2.14,-1.16
0.61,0.65,-0.45,-0.24,-4.21,-1.34
0.6,0.65,-0.47,0.0,-4.7,-1.1
