ax,ay,az,gx,gy,gz
0.91,0.43,0.05,0.18,-1.59,-0.18
0.91,0.43,0.05,0.12,-1.53,-0.12
0.9,0.43,0.05,0.18,-0.49,0.18
0.9,0.43,0.05,0.18,-0.06,0.12
0.9,0.43,0.05,0.18,0.43,0.12
0.9,0.43,0.06,0.06,0.55,0.18
0.9,0.43,0.05,-0.12,0.73,0.12
0.9,0.43,0.05,-0.12,1.04,-0.06
0.9,0.42,0.04,-0.06,1.04,-0.12
0.91,0.42,0.04,-0.06,0.37,-0.12
0.9,0.43,0.05,0.0,-0.18,-0.24
0.9,0.43,0.06,0.18,-0.18,-0.37
0.9,0.43,0.06,0.73,3.17,0.18
0.91,0.43,0.04,0.92,4.03,0.37
0.91,0.43,0.03,0.98,1.1,-0.31
0.9,0.42,0.02,0.73,-0.31,-0.18
0.9,0.42,0.03,0.49,-0.98,0.0
0.9,0.43,0.04,0.49,-0.37,0.24
0.91,0.43,0.06,0.55,0.43,0.61
0.91,0.43,0.06,0.43,0.92,0.61
0.91,0.43,0.05,0.43,0.49,0.43
0.9,0.43,0.05,0.55,-0.24,0.24
0.9,0.43,0.05,0.49,-0.06,0.31
0.9,0.43,0.04,0.49,0.61,0.49
0.9,0.43,0.04,0.43,0.85,0.37
0.9,0.43,0.05,0.18,0.31,0.24
0.9,0.43,0.05,0.0,-0.24,0.0
0.9,0.43,0.05,0.43,-0.67,-0.61
0.89,0.44,0.06,1.46,-0.67,-0.85
0.86,0.45,0.1,9.09,5.49,-3.91
0.95,0.44,0.08,10.25,6.04,-6.59
0.97,0.43,0.11,10.44,-0.37,-5.98
0.91,0.44,0.1,11.84,-16.78,-8.3
0.78,0.43,-0.01,7.39,-13.49,-7.75
0.73,0.4,-0.15,19.65,11.54,-8.85
1.18,0.37,-0.14,22.46,17.33,-9.16
1.14,0.35,0.02,11.96,12.63,4.88
1.01,0.34,0.16,-4.76,-42.18,-4.03
0.76,0.45,0.2,-4.09,-52.67,-14.4
0.76,0.46,0.19,-2.93,-3.85,2.14
0.91,0.43,0.15,-3.3,15.5,6.53
0.95,0.43,0.12,-5.13,24.41,10.01
0.93,0.42,0.07,-6.65,24.17,13.12
0.91,0.42,0.06,-7.87,21.24,13.06
0.91,0.42,0.07,-9.28,16.05,9.64
0.95,0.42,0.08,-10.68,14.65,9.83
0.94,0.43,0.06,-11.6,12.08,9.52
0.91,0.43,0.04,-8.73,4.94,5.37
0.85,0.44,-0.02,-6.35,2.14,3.6
0.83,0.44,-0.02,-1.28,0.61,0.92
0.85,0.43,-0.04,1.4,0.49,-0.92
0.89,0.44,-0.02,1.95,1.34,-1.34
0.94,0.44,0.0,-1.83,7.2,5.68
0.95,0.41,0.03,-2.38,2.26,5.98
0.92,0.42,0.04,-1.53,-16.05,-1.28
0.86,0.45,0.07,-0.73,-16.97,-1.89
0.86,0.45,0.07,0.49,-4.88,0.06
0.89,0.44,0.05,1.1,-1.16,0.49
0.9,0.44,0.05,1.46,-0.24,0.67
0.9,0.44,0.06,1.4,-0.24,1.04
0.91,0.43,0.07,0.92,-0.24,0.61
0.92,0.43,0.06,-0.98,-2.75,0.12
0.91,0.43,0.05,-1.65,-5.13,-0.12
0.9,0.44,0.05,-1.77,-7.02,-0.49
0.89,0.44,0.05,-1.34,-6.9,-0.79
0.89,0.44,0.05,-1.4,-5.55,-0.24
0.9,0.44,0.05,-1.1,-3.48,0.49
0.89,0.44,0.06,-0.79,-2.5,0.18
0.89,0.44,0.06,-0.55,-1.04,0.0
0.9,0.43,0.06,-0.43,0.49,0.18
0.91,0.43,0.05,-0.49,-0.24,0.12
