ax,ay,az,gx,gy,gz
0.62,0.74,0.24,0.18,-0.55,-0.98
0.62,0.74,0.24,0.18,-0.18,-1.16
0.63,0.74,0.23,0.12,0.31,-1.16
0.63,0.74,0.24,-0.06,-0.06,-1.16
0.63,0.74,0.24,-0.18,-0.31,-1.16
0.63,0.74,0.24,-0.06,0.61,-1.22
0.63,0.74,0.23,0.24,1.22,-0.49
0.63,0.73,0.23,0.24,0.49,-0.31
0.63,0.73,0.24,0.0,0.37,-0.18
0.63,0.73,0.24,-0.31,1.04,0.18
0.64,0.73,0.23,-0.12,0.37,0.12
0.63,0.74,0.23,0.12,-0.67,0.24
0.63,0.74,0.24,0.24,-0.37,0.31
0.63,0.74,0.23,0.55,0.43,0.24
0.63,0.74,0.23,0.61,0.43,0.24
0.63,0.74,0.23,0.67,0.18,0.24
0.63,0.74,0.23,0.67,0.12,0.31
0.63,0.74,0.24,0.49,0.37,0.43
0.63,0.74,0.24,0.12,0.37,0.85
0.63,0.74,0.24,-0.06,0.12,0.92
0.62,0.74,0.24,-0.06,0.0,1.04
0.62,0.74,0.23,0.12,0.49,0.73
0.62,0.74,0.23,0.55,1.83,0.49
0.63,0.74,0.23,0.61,1.71,0.43
0.63,0.74,0.23,0.49,0.92,0.24
0.63,0.74,0.23,0.24,0.0,0.43
0.63,0.74,0.23,0.18,-0.24,0.49
0.62,0.74,0.24,-0.12,0.18,0.37
0.63,0.75,0.23,0.79,0.73,0.24
0.62,0.75,0.21,2.14,-2.08,-0.67
0.6,0.74,0.24,-11.6,-15.08,-3.54
0.34,0.78,0.34,-10.62,-13.85,-5.37
0.46,0.8,0.29,21.18,20.32,-13.37
1.02,0.65,0.18,16.6,35.34,-4.03
0.93,0.66,0.21,1.34,21.67,9.46
0.77,0.7,0.24,-4.15,-40.28,0.06
0.52,0.78,0.22,-1.46,-37.9,0.31
0.53,0.73,0.2,4.7,9.64,10.74
0.62,0.7,0.21,5.68,15.14,9.4
0.62,0.73,0.21,5.31,9.58,6.16
0.62,0.75,0.22,4.76,6.1,3.97
0.59,0.74,0.23,5.07,9.28,3.66
0.58,0.73,0.24,4.94,14.53,-1.53
0.55,0.76,0.29,4.88,24.29,-4.27
0.62,0.76,0.29,4.82,37.35,-5.19
0.7,0.73,0.27,3.66,22.89,-0.37
0.63,0.7,0.18,2.08,-2.08,-2.69
0.57,0.73,0.16,1.46,-15.14,-3.78
0.63,0.73,0.22,-0.18,-5.86,0.24
0.63,0.73,0.29,-3.48,-1.71,3.23
0.61,0.74,0.34,-7.75,-10.44,-0.55
0.57,0.75,0.32,-8.85,-11.96,-2.38
0.58,0.75,0.28,-8.24,-5.74,-3.85
0.62,0.76,0.21,-7.14,-4.46,-3.85
0.64,0.76,0.2,-6.9,-3.05,-1.4
0.65,0.74,0.2,-6.47,-2.75,0.06
0.66,0.73,0.21,-3.85,-7.26,-0.37
0.65,0.73,0.2,-2.14,-7.14,-0.85
0.65,0.73,0.19,-0.43,-3.48,-0.55
0.65,0.72,0.2,1.59,1.04,-0.12
0.65,0.73,0.22,1.4,-0.92,-0.67
0.64,0.73,0.23,1.16,-2.87,0.06
0.64,0.74,0.25,1.28,-2.44,0.79
0.63,0.74,0.25,1.71,-1.71,1.46
0.62,0.74,0.24,1.83,-1.16,1.95
0.62,0.74,0.24,2.01,-0.61,2.32
0.62,0.73,0.24,2.01,0.18,2.14
0.62,0.73,0.24,1.89,0.12,2.01
0.62,0.73,0.25,0.85,-0.24,1.28
0.62,0.74,0.25,0.43,-0.12,0.85
