ax,ay,az,gx,gy,gz
0.37,0.49,-0.78,-0.18,-0.31,-0.49
0.38,0.49,-0.78,-0.06,1.65,0.24
0.39,0.49,-0.77,-0.12,1.77,0.37
0.39,0.49,-0.77,-0.67,0.49,0.24
0.38,0.48,-0.77,-0.79,0.0,0.37
0.38,0.48,-0.78,-0.61,0.12,0.55
0.38,0.49,-0.78,-0.49,0.31,0.55
0.38,0.49,-0.78,-0.49,0.24,0.43
0.38,0.49,-0.78,-0.31,0.24,0.24
0.37,0.49,-0.78,-0.12,0.43,0.37
0.38,0.48,-0.78,0.37,1.04,0.73
0.38,0.48,-0.78,0.31,0.92,0.67
0.38,0.48,-0.78,0.24,-0.12,0.0
0.37,0.48,-0.78,0.31,-0.55,-0.31
0.37,0.49,-0.77,0.24,-0.49,-0.55
0.37,0.49,-0.77,0.12,0.79,-0.37
0.38,0.49,-0.78,0.24,1.22,0.0
0.38,0.48,-0.78,0.49,0.73,0.37
0.38,0.48,-0.78,0.55,-0.12,0.06
0.38,0.48,-0.78,0.43,-0.98,-0.49
0.37,0.49,-0.78,0.24,-0.67,-0.85
0.38,0.49,-0.78,0.37,0.49,-0.37
0.38,0.49,-0.77,0.49,1.89,0.37
0.38,0.49,-0.78,0.55,1.28,0.24
0.38,0.48,-0.78,0.49,0.12,0.0
0.38,0.48,-0.78,0.24,-1.22,-0.49
0.38,0.48,-0.77,0.0,-0.61,-0.24
0.38,0.48,-0.77,-0.12,1.71,0.24
0.38,0.48,-0.78,-0.06,2.14,0.31
0.39,0.49,-0.78,0.18,0.98,0.18
0.38,0.48,-0.78,0.06,0.24,0.12
0.37,0.48,-0.76,-0.37,-0.12,0.0
0.35,0.49,-0.69,2.01,0.12,-2.08
0.3,0.42,-0.64,-1.04,-3.3,-7.81
0.33,0.44,-0.64,-47.24,-18.92,-18.62
0.41,0.6,-0.94,-38.51,-25.27,-21.97
0.83,0.48,-1.26,17.64,-42.36,-24.23
0.79,0.51,-0.93,16.54,-35.03,2.62
0.36,0.45,-0.66,9.34,-43.88,23.44
0.14,0.36,-0.56,4.64,-63.54,-4.21
0.33,0.47,-0.62,3.91,-47.36,-11.23
0.33,0.5,-0.67,4.39,4.58,10.93
0.22,0.43,-0.75,3.36,30.46,13.98
0.26,0.45,-0.78,-0.12,52.43,13.79
0.35,0.49,-0.82,-3.54,74.52,20.02
0.51,0.52,-0.88,-3.36,66.71,17.82
0.5,0.5,-0.84,-2.75,27.77,8.79
0.36,0.45,-0.75,-1.77,12.45,7.14
0.28,0.44,-0.68,-5.98,4.09,3.78
0.29,0.48,-0.72,-6.41,5.86,-1.1
0.38,0.5,-0.8,-3.48,5.98,-6.84
0.44,0.52,-0.85,0.31,5.0,-6.41
0.44,0.5,-0.82,1.53,9.09,-0.55
0.44,0.48,-0.79,3.42,13.37,4.15
0.44,0.46,-0.77,3.36,10.5,2.38
0.43,0.47,-0.76,2.26,5.8,0.98
0.41,0.47,-0.76,-0.67,-2.69,1.46
0.34,0.47,-0.79,-0.79,-4.64,0.79
0.33,0.48,-0.81,0.61,-1.28,-0.24
0.34,0.49,-0.82,1.4,3.05,1.1
0.35,0.48,-0.8,2.14,6.41,2.14
0.37,0.48,-0.77,1.46,3.66,1.1
0.36,0.48,-0.77,0.85,-0.43,-0.06
0.35,0.47,-0.78,0.92,-5.25,-2.5
0.36,0.48,-0.79,1.16,-4.52,-2.93
0.37,0.48,-0.79,1.34,-0.92,-1.04
0.39,0.48,-0.77,1.46,0.0,-0.43
0.39,0.48,-0.77,1.46,-0.06,-0.55
0.37,0.48,-0.77,1.1,-0.31,-0.79
0.37,0.48,-0.77,0.55,-0.67,-1.34
