ax,ay,az,gx,gy,gz
0.2,0.81,-0.54,-0.24,2.69,0.0
0.2,0.81,-0.54,-0.49,2.81,0.06
0.2,0.81,-0.53,-0.92,1.95,-0.37
0.2,0.81,-0.52,-0.98,1.22,-0.55
0.2,0.81,-0.52,-0.92,0.55,-0.67
0.19,0.81,-0.53,-0.92,0.24,-0.61
0.18,0.81,-0.54,-0.79,1.46,-0.24
0.18,0.81,-0.54,0.12,4.7,0.37
0.2,0.81,-0.53,0.31,5.13,0.43
0.2,0.81,-0.53,0.24,4.33,0.31
0.2,0.81,-0.53,-0.06,0.67,-0.61
0.19,0.81,-0.53,-0.24,-0.79,-0.85
0.19,0.81,-0.53,-0.24,-1.16,-0.73
0.19,0.82,-0.53,0.0,-0.55,-0.49
0.19,0.81,-0.53,0.18,0.67,-0.18
0.19,0.81,-0.53,0.18,1.16,-0.24
0.19,0.81,-0.52,0.18,0.98,-0.24
0.19,0.81,-0.53,0.06,-0.92,-0.37
0.19,0.81,-0.53,0.12,-1.65,-0.67
0.19,0.81,-0.53,0.06,-1.89,-0.61
0.19,0.81,-0.53,-0.06,-1.71,-0.49
0.19,0.81,-0.53,0.06,-0.24,-0.61
0.19,0.81,-0.54,0.24,1.04,-0.43
0.19,0.81,-0.54,0.24,2.14,-0.18
0.2,0.81,-0.53,0.06,2.5,0.06
0.2,0.81,-0.53,0.0,1.77,-0.06
0.19,0.81,-0.53,0.06,0.24,-0.37
0.19,0.81,-0.53,0.18,0.12,-0.31
0.2,0.81,-0.53,0.18,0.31,-0.12
0.2,0.81,-0.53,0.06,0.24,0.31
0.19,0.81,-0.53,0.0,0.31,0.18
0.19,0.81,-0.53,0.24,1.4,-0.06
0.19,0.81,-0.54,0.37,1.89,-0.12
0.19,0.81,-0.53,0.37,1.77,-0.24
0.2,0.82,-0.53,-0.06,-0.43,-0.49
0.2,0.81,-0.53,-0.24,-1.71,-0.67
0.19,0.81,-0.53,-0.43,-2.5,-1.04
0.18,0.81,-0.53,-0.49,-1.4,-0.92
0.19,0.81,-0.53,0.12,1.46,-0.18
0.2,0.81,-0.53,0.31,2.14,0.12
0.2,0.81,-0.52,0.0,2.26,0.31
0.2,0.82,-0.5,4.27,0.55,-0.61
0.23,0.81,-0.46,10.56,-3.42,-2.44
0.22,0.8,-0.43,-15.32,-29.6,-13.18
0.07,0.87,-0.48,-20.69,-42.48,-23.56
0.18,0.85,-0.81,36.44,-32.35,-26.0
0.49,0.83,-0.91,36.74,5.92,-3.36
0.42,0.82,-0.58,23.56,36.99,24.17
0.31,0.77,-0.31,9.28,-3.6,18.43
0.13,0.75,-0.29,5.37,-42.48,-5.43
0.03,0.8,-0.4,-2.69,-57.01,-18.8
-0.09,0.8,-0.5,-6.96,-22.71,-8.85
-0.04,0.77,-0.45,-18.49,74.52,18.74
0.29,0.81,-0.46,-21.55,93.93,21.55
0.42,0.87,-0.54,-21.55,80.63,13.49
0.44,0.9,-0.62,-16.36,17.76,-5.31
0.23,0.86,-0.66,-12.7,-4.58,-7.08
0.13,0.81,-0.64,1.59,-13.85,-3.97
0.17,0.79,-0.59,8.18,-10.25,-2.01
0.22,0.8,-0.53,7.81,-2.08,3.36
0.18,0.78,-0.45,3.54,-1.83,5.25
0.16,0.78,-0.47,0.06,-2.81,3.48
0.17,0.81,-0.51,-1.1,-2.93,-3.54
0.21,0.83,-0.52,-0.43,-3.97,-4.46
0.19,0.82,-0.51,-0.18,-10.56,-7.51
0.13,0.81,-0.54,0.67,-9.83,-8.97
0.15,0.81,-0.56,3.05,8.12,-3.54
0.25,0.81,-0.55,3.72,15.62,0.61
0.28,0.8,-0.53,3.91,16.54,2.56
0.29,0.8,-0.52,2.81,6.16,2.14
