ax,ay,az,gx,gy,gz
0.65,0.68,-0.33,-1.04,3.23,-0.98
0.66,0.68,-0.37,-0.73,1.83,-0.79
0.66,0.68,-0.38,0.12,-2.01,0.31
0.65,0.68,-0.38,0.43,-2.32,0.49
0.63,0.68,-0.35,0.55,-0.73,0.73
0.64,0.68,-0.34,1.16,2.87,0.98
0.65,0.67,-0.34,1.4,2.08,0.67
0.65,0.67,-0.34,1.1,-1.65,0.43
0.64,0.67,-0.35,0.61,-1.83,0.49
0.64,0.67,-0.35,0.24,-0.61,0.67
0.65,0.67,-0.34,-0.18,1.04,1.34
0.64,0.67,-0.31,-0.67,0.73,1.28
0.64,0.67,-0.31,-1.77,2.81,0.49
0.66,0.67,-0.34,-1.71,3.91,0.61
0.66,0.67,-0.36,-1.59,2.87,0.92
0.64,0.67,-0.37,-1.53,-1.59,1.04
0.63,0.68,-0.36,-1.28,-1.34,1.22
0.63,0.68,-0.35,-0.43,1.77,1.89
0.64,0.67,-0.34,-0.12,1.65,1.4
0.65,0.67,-0.33,-0.12,0.67,1.04
0.65,0.67,-0.34,-0.31,0.85,1.34
0.65,0.67,-0.35,-0.37,0.24,0.92
0.63,0.67,-0.35,-0.31,0.31,0.61
0.65,0.67,-0.35,-0.31,2.08,0.67
0.65,0.67,-0.35,-0.12,1.77,0.98
0.64,0.67,-0.35,0.18,0.12,0.67
0.63,0.68,-0.35,0.31,1.04,0.55
0.63,0.68,-0.35,0.37,4.09,1.04
0.64,0.67,-0.35,0.24,3.91,1.4
0.61,0.69,-0.34,0.49,2.5,1.4
0.62,0.7,-0.32,-5.25,-6.1,-1.04
0.64,0.75,-0.26,-8.36,-1.16,-2.08
0.44,0.75,-0.29,-8.97,22.89,-2.87
0.49,0.62,-0.48,4.94,58.23,6.04
0.8,0.6,-0.63,22.58,119.32,16.42
0.98,0.6,-0.59,15.56,144.59,31.98
0.88,0.66,-0.26,6.16,74.46,29.11
0.71,0.69,-0.25,-6.9,-77.76,-14.59
0.39,0.75,-0.43,-7.87,-85.88,-18.37
0.39,0.73,-0.44,-7.02,-54.69,-7.57
0.45,0.68,-0.4,-6.77,-3.66,2.62
0.54,0.65,-0.4,-6.71,-0.12,-5.37
0.61,0.68,-0.41,-0.49,14.1,-6.96
0.71,0.65,-0.36,1.65,14.89,-1.95
0.69,0.64,-0.34,0.98,3.72,-1.53
0.66,0.65,-0.36,2.38,-16.3,-5.62
0.69,0.64,-0.43,4.46,-18.07,-2.69
0.72,0.65,-0.4,2.56,-28.32,0.85
0.64,0.72,-0.34,0.61,-37.05,0.18
0.56,0.73,-0.32,-3.72,-45.17,-1.95
0.53,0.7,-0.33,-5.43,-45.04,-4.27
0.56,0.68,-0.33,-5.98,-42.85,-6.77
0.58,0.68,-0.34,-3.72,-28.02,-7.39
0.61,0.67,-0.38,-1.95,-16.72,-4.88
0.63,0.66,-0.39,0.98,1.28,0.12
0.66,0.66,-0.37,1.83,5.0,1.16
0.66,0.67,-0.35,1.83,5.13,0.98
0.67,0.68,-0.33,1.53,3.36,0.92
0.66,0.68,-0.33,0.61,-2.81,0.73
0.63,0.68,-0.33,0.43,-4.76,0.43
0.62,0.68,-0.33,0.49,-4.21,0.18
0.62,0.68,-0.34,1.1,0.12,0.79
0.64,0.68,-0.35,1.46,0.37,0.79
0.65,0.67,-0.35,1.04,-0.49,0.31
0.65,0.67,-0.35,0.85,-0.18,0.67
0.65,0.67,-0.35,0.79,-0.43,0.98
0.65,0.67,-0.34,0.24,-3.3,0.55
0.63,0.68,-0.34,0.12,-3.17,0.12
0.63,0.68,-0.34,0.31,0.0,0.67
