ax,ay,az,gx,gy,gz
0.78,0.62,-0.02,1.04,2.44,0.61
0.78,0.62,-0.02,0.67,0.0,-0.24
0.77,0.62,-0.02,0.43,-0.85,-0.67
0.77,0.62,-0.02,0.31,-0.92,-0.92
0.77,0.62,-0.02,0.49,0.24,-1.34
0.78,0.62,-0.02,0.55,0.49,-1.22
0.78,0.62,-0.03,0.31,0.31,-1.1
0.78,0.63,-0.03,0.18,0.73,-0.79
0.78,0.63,-0.03,0.0,1.16,-0.06
0.78,0.63,-0.02,0.06,0.92,0.12
0.78,0.63,-0.02,0.18,0.79,0.31
0.78,0.62,-0.02,0.31,0.79,0.49
0.78,0.62,-0.02,0.37,0.06,0.43
0.78,0.62,-0.02,0.37,-1.89,0.24
0.77,0.62,-0.03,0.24,-1.89,0.12
0.77,0.63,-0.03,0.37,0.37,0.12
0.78,0.62,-0.03,0.55,1.04,0.18
0.78,0.62,-0.03,0.61,0.98,0.12
0.78,0.62,-0.02,0.43,0.06,0.0
0.78,0.62,-0.02,0.43,-0.49,-0.12
0.78,0.62,-0.03,0.49,-0.49,-0.43
0.78,0.62,-0.03,0.43,-0.24,-0.24
0.77,0.62,-0.03,0.43,-0.18,-0.06
0.77,0.62,-0.03,0.49,0.85,-0.24
0.78,0.62,-0.02,0.43,1.95,-0.49
0.79,0.62,-0.02,0.43,1.71,-0.98
0.78,0.62,-0.02,0.43,0.55,-1.28
0.78,0.62,-0.03,0.85,-0.49,-0.92
0.77,0.63,-0.03,1.34,0.43,-0.67
0.75,0.65,-0.01,2.62,1.53,-0.31
0.76,0.66,-0.02,9.09,-4.58,-5.68
0.77,0.66,0.01,6.29,-15.38,-10.31
0.57,0.72,0.13,1.59,-26.37,-9.89
0.68,0.56,-0.07,15.99,-11.11,-10.01
1.11,0.44,-0.2,27.53,28.38,-5.62
1.12,0.55,0.0,15.08,59.39,20.63
0.87,0.64,0.1,8.67,20.87,18.13
0.72,0.7,0.06,4.64,-28.75,-2.56
0.69,0.63,-0.14,5.92,-15.87,3.6
0.69,0.6,-0.14,4.39,5.62,7.63
0.72,0.62,-0.07,2.87,5.0,2.93
0.74,0.63,-0.03,1.59,6.96,1.16
0.76,0.62,0.0,-2.62,11.78,2.2
0.79,0.59,0.06,-5.19,8.42,-0.31
0.77,0.6,0.07,-8.54,2.87,-4.88
0.72,0.63,0.03,-9.64,9.28,-5.37
0.78,0.62,-0.01,-10.62,18.07,-3.85
0.83,0.61,-0.04,-10.62,6.77,-1.1
0.78,0.6,-0.06,-10.01,-8.48,-3.66
0.75,0.63,-0.05,-5.68,-10.13,-2.56
0.82,0.62,-0.03,-3.11,-3.11,1.34
0.81,0.63,-0.01,-3.78,-6.16,3.05
0.75,0.64,-0.01,-4.46,-12.27,1.4
0.72,0.63,-0.02,-3.72,-19.29,-2.32
0.74,0.62,-0.05,-2.5,-21.12,-4.15
0.75,0.62,-0.04,-1.65,-21.91,-5.25
0.76,0.62,-0.02,-1.53,-16.54,-4.39
0.77,0.63,0.01,-1.77,-12.63,-3.78
0.78,0.63,0.01,-2.62,-8.79,-4.03
0.79,0.63,-0.0,-2.93,-8.42,-4.21
0.8,0.62,-0.02,-1.95,-8.0,-4.09
0.81,0.62,-0.04,-1.16,-7.45,-3.54
0.81,0.62,-0.04,-0.73,-6.41,-1.71
0.8,0.62,-0.01,-0.61,-6.53,-0.92
0.8,0.62,-0.01,-0.06,-6.71,-0.43
0.8,0.61,-0.01,1.46,-6.84,0.0
0.81,0.61,-0.01,1.59,-7.26,0.31
0.8,0.61,-0.01,1.22,-8.61,0.98
