ax,ay,az,gx,gy,gz
0.14,0.17,-0.98,-0.73,2.81,0.37
0.15,0.17,-0.97,-0.67,1.34,0.61
0.14,0.17,-0.97,-0.55,-0.12,0.18
0.14,0.17,-0.98,-0.37,-0.79,0.06
0.13,0.17,-0.98,-0.31,0.18,0.73
0.14,0.17,-0.98,0.0,0.73,0.98
0.14,0.17,-0.98,0.85,1.53,1.1
0.14,0.17,-0.97,1.04,1.83,1.1
0.14,0.17,-0.97,1.04,1.65,0.92
0.14,0.17,-0.97,0.92,0.79,0.37
0.14,0.17,-0.97,0.73,0.61,0.49
0.13,0.17,-0.97,0.43,0.12,0.67
0.14,0.17,-0.97,0.67,-0.12,0.49
0.14,0.17,-0.97,1.22,0.55,0.37
0.14,0.17,-0.97,0.92,1.77,0.73
0.13,0.16,-0.97,0.55,1.53,0.85
0.13,0.16,-0.96,0.0,1.04,0.67
0.13,0.16,-0.97,0.12,1.04,0.43
0.13,0.16,-0.97,0.24,0.85,0.24
0.13,0.17,-0.98,0.24,0.49,0.18
0.14,0.17,-0.99,0.61,1.1,0.43
0.14,0.17,-0.99,1.16,2.26,0.98
0.13,0.17,-0.97,1.22,2.14,0.92
0.12,0.17,-0.97,1.4,1.71,0.37
0.12,0.17,-0.97,1.34,1.22,-0.18
0.12,0.17,-0.97,1.1,1.95,0.12
0.13,0.17,-0.97,1.22,3.36,0.55
0.13,0.17,-0.98,1.65,3.23,0.43
0.13,0.17,-0.98,1.83,2.32,0.55
0.11,0.17,-0.97,1.53,3.23,0.49
0.12,0.17,-0.96,2.5,7.81,0.37
0.11,0.17,-0.93,2.87,8.54,0.73
0.09,0.17,-0.87,1.77,8.06,0.79
0.08,0.17,-0.83,-10.25,5.0,0.37
0.06,0.22,-0.83,-23.99,2.69,-0.92
0.05,0.24,-0.96,-13.0,-3.05,-2.93
0.24,0.09,-1.31,18.31,6.47,2.32
0.3,0.06,-1.28,36.62,37.11,7.08
0.26,0.1,-1.05,15.26,75.81,24.6
0.18,0.17,-0.78,6.59,56.46,25.7
0.12,0.19,-0.85,-0.43,-30.4,-5.31
0.03,0.19,-1.02,-0.67,-51.45,-8.91
-0.01,0.18,-1.01,-2.2,-45.41,-4.76
-0.04,0.19,-0.96,-8.36,-3.54,3.23
0.02,0.16,-0.96,-9.16,10.62,2.26
0.09,0.14,-0.99,-10.74,12.08,-0.43
0.2,0.14,-1.05,-10.38,3.54,-0.73
0.22,0.15,-1.09,-3.3,-19.59,-4.03
0.08,0.17,-1.05,-0.06,-28.38,-5.92
0.0,0.17,-0.99,1.59,-31.56,-7.26
0.01,0.16,-0.95,7.93,-24.66,-3.72
0.15,0.15,-0.91,9.52,-22.89,-1.34
0.16,0.17,-0.92,4.09,-21.61,-1.22
0.14,0.17,-0.97,1.53,-17.4,-0.49
0.15,0.16,-1.0,0.31,-14.28,-1.89
0.15,0.17,-0.99,1.4,-16.36,-3.48
0.13,0.18,-0.96,3.48,-10.86,-1.4
0.09,0.18,-0.91,3.3,-4.58,1.04
0.1,0.17,-0.93,2.81,0.0,2.01
0.12,0.16,-0.96,2.08,3.72,-1.34
0.18,0.17,-1.01,2.32,5.0,-1.59
0.18,0.17,-1.0,1.95,3.11,0.06
0.14,0.17,-0.95,0.92,0.73,-0.12
0.12,0.18,-0.94,-0.43,-0.43,-0.67
0.12,0.17,-0.94,-0.98,0.43,-0.61
0.14,0.17,-0.95,-1.53,0.73,-0.61
0.15,0.17,-0.95,-1.89,-0.92,-1.34
0.16,0.17,-0.97,-1.46,-0.73,-1.34
0.17,0.17,-0.98,-0.37,3.72,0.43
