ax,ay,az,gx,gy,gz
0.66,0.47,-0.56,0.31,-0.18,-0.12
0.66,0.47,-0.58,0.37,0.18,-0.43
0.66,0.47,-0.58,0.49,0.37,-0.49
0.66,0.47,-0.58,0.24,0.49,0.0
0.66,0.47,-0.57,-0.12,0.18,0.12
0.67,0.47,-0.57,-0.49,-0.73,-0.06
0.67,0.47,-0.57,-0.18,-1.04,-0.12
0.67,0.47,-0.57,0.18,-1.22,-0.24
0.66,0.47,-0.57,0.12,-0.79,-0.06
0.66,0.47,-0.57,0.12,-0.06,0.24
0.66,0.47,-0.57,0.55,0.24,-0.06
0.67,0.46,-0.57,0.55,-0.12,-0.24
0.67,0.46,-0.57,-0.06,-0.18,0.18
0.67,0.47,-0.57,-0.37,-0.24,0.31
0.67,0.47,-0.56,-0.18,-0.55,0.18
0.67,0.47,-0.57,-0.06,-0.49,0.06
0.67,0.47,-0.57,-0.24,-1.4,-0.06
0.67,0.47,-0.56,-0.67,-2.2,-0.06
0.67,0.46,-0.56,-1.4,-3.36,-0.18
0.68,0.47,-0.53,1.16,-7.08,-1.77
0.64,0.47,-0.51,5.49,-7.2,-5.31
0.7,0.48,-0.53,12.45,-3.05,-8.73
0.77,0.5,-0.64,16.17,-1.65,-5.19
0.75,0.48,-0.65,14.53,-13.55,-0.61
0.52,0.46,-0.63,11.47,-21.61,-2.2
0.49,0.45,-0.6,8.0,-22.64,-5.25
0.56,0.47,-0.54,13.06,5.68,-2.01
0.8,0.46,-0.62,30.21,20.75,0.49
0.89,0.46,-0.56,23.8,26.55,12.51
0.76,0.46,-0.49,11.23,9.34,14.77
0.67,0.46,-0.49,6.35,-13.98,6.16
0.61,0.49,-0.5,4.88,-21.42,-5.55
0.59,0.5,-0.5,1.89,-5.86,0.31
0.61,0.48,-0.5,-7.26,13.85,8.85
0.65,0.46,-0.51,-11.9,9.89,4.39
0.64,0.47,-0.54,-19.59,3.23,-1.65
0.61,0.49,-0.56,-21.73,8.85,-0.55
0.65,0.49,-0.55,-21.85,17.88,0.67
0.72,0.49,-0.58,-17.27,21.85,0.49
0.76,0.49,-0.65,-15.62,12.33,1.22
0.72,0.48,-0.65,-6.53,-8.54,2.81
0.66,0.46,-0.6,-1.28,-12.21,2.99
0.65,0.46,-0.56,-0.12,-10.44,4.03
0.62,0.46,-0.53,-5.98,-5.43,6.04
0.61,0.47,-0.5,-8.97,-9.28,3.48
0.63,0.49,-0.52,-8.36,-19.29,-6.16
0.65,0.5,-0.58,-5.07,-14.89,-8.18
0.66,0.5,-0.59,0.12,7.75,-2.56
0.68,0.48,-0.56,0.61,13.98,1.1
0.7,0.47,-0.55,0.67,12.82,1.46
0.71,0.46,-0.56,1.16,0.37,-2.5
0.71,0.46,-0.58,1.16,-2.5,-1.65
0.69,0.46,-0.57,0.61,-0.73,1.95
0.66,0.47,-0.56,0.49,0.18,2.26
0.66,0.47,-0.55,0.37,0.73,2.26
0.67,0.47,-0.54,0.0,0.24,2.08
0.67,0.47,-0.55,-0.18,-0.73,1.28
0.66,0.47,-0.55,-0.24,-0.67,0.12
0.66,0.47,-0.57,-0.18,1.04,0.61
0.67,0.47,-0.57,0.18,2.56,0.73
0.68,0.47,-0.57,0.18,1.28,0.31
0.68,0.47,-0.56,-0.06,-0.18,0.37
0.67,0.47,-0.56,-0.37,-1.53,0.55
0.66,0.47,-0.55,-0.31,-1.71,-0.12
0.66,0.47,-0.56,-0.43,-0.61,-0.31
0.66,0.47,-0.56,-0.49,0.67,-0.31
0.67,0.47,-0.56,-0.67,1.59,-0.31
0.68,0.47,-0.57,-0.67,0.92,-0.18
0.68,0.47,-0.58,-0.18,-1.04,0.24
