ax,ay,az,gx,gy,gz
0.82,0.21,-0.5,0.06,0.85,0.49
0.82,0.21,-0.5,-0.06,1.22,0.43
0.82,0.21,-0.5,0.06,0.49,-0.18
0.83,0.2,-0.49,0.06,0.0,-0.24
0.83,0.2,-0.49,-0.06,-0.49,-0.37
0.83,0.2,-0.49,0.0,-1.59,-1.22
0.82,0.2,-0.49,0.18,-2.01,-1.65
0.82,0.2,-0.5,0.73,-1.46,-2.08
0.83,0.2,-0.5,0.98,-1.59,-1.95
0.84,0.2,-0.5,1.4,-2.87,-2.14
0.83,0.21,-0.5,1.46,-2.75,-2.38
0.83,0.21,-0.5,1.34,-2.01,-2.38
0.84,0.21,-0.51,1.04,-1.59,-1.89
0.85,0.21,-0.5,1.04,-2.62,-1.65
0.85,0.21,-0.5,1.22,-3.3,-1.71
0.85,0.21,-0.5,1.28,-2.38,-1.59
0.85,0.22,-0.5,1.28,-1.65,-1.16
0.84,0.22,-0.51,1.16,-1.83,-1.04
0.84,0.22,-0.5,1.22,-1.83,-0.92
0.85,0.22,-0.5,1.28,-1.28,-0.73
0.85,0.22,-0.5,1.22,-1.4,-0.73
0.85,0.22,-0.5,1.22,-1.77,-0.73
0.85,0.22,-0.5,0.92,-1.71,-0.31
0.85,0.21,-0.5,0.73,-1.46,0.06
0.85,0.21,-0.5,0.55,-0.18,0.24
0.85,0.22,-0.5,0.55,1.16,0.67
0.84,0.22,-0.5,0.61,2.5,1.22
0.84,0.21,-0.49,0.24,2.81,1.65
0.85,0.21,-0.49,0.12,1.46,1.4
0.84,0.22,-0.49,0.43,0.12,1.04
0.82,0.22,-0.5,0.49,1.46,1.1
0.83,0.22,-0.49,0.43,3.48,0.98
0.83,0.21,-0.49,0.79,4.21,0.73
0.83,0.21,-0.47,0.85,1.77,0.92
0.81,0.21,-0.43,-0.18,-0.49,0.85
0.78,0.23,-0.38,-7.08,-1.28,-1.53
0.88,0.2,-0.34,-17.76,-5.62,-5.92
0.85,0.24,-0.29,-27.77,-5.07,-6.96
0.74,0.23,-0.73,-7.02,0.61,-5.43
0.9,0.14,-0.93,26.98,27.4,-0.31
0.92,0.13,-0.67,18.49,31.68,5.19
0.91,0.14,-0.46,8.36,17.27,11.29
0.91,0.14,-0.34,-0.61,-23.32,-0.61
0.83,0.22,-0.35,-3.3,-24.54,-0.85
0.84,0.22,-0.37,-3.6,4.27,9.52
0.89,0.21,-0.44,-3.91,11.9,10.01
0.85,0.22,-0.48,-5.49,11.6,8.24
0.79,0.24,-0.56,-10.31,13.31,7.26
0.83,0.22,-0.59,-10.93,15.08,6.16
0.89,0.2,-0.59,-8.12,0.12,-2.2
0.88,0.2,-0.52,-6.53,-11.47,-5.98
0.84,0.21,-0.49,-3.91,-20.69,-5.07
0.81,0.2,-0.56,0.0,-20.63,-3.11
0.8,0.2,-0.6,11.29,-18.74,3.36
0.79,0.22,-0.51,9.89,-9.64,7.45
0.79,0.23,-0.46,4.09,1.16,11.72
0.81,0.23,-0.44,-1.65,8.0,9.95
0.84,0.22,-0.47,-1.59,1.59,5.49
0.84,0.22,-0.46,-1.28,-13.85,2.81
0.82,0.22,-0.45,-2.44,-16.48,2.75
0.8,0.22,-0.47,-3.54,-16.66,2.14
0.81,0.22,-0.49,-3.54,-16.17,-0.92
0.83,0.22,-0.53,-2.99,-15.01,-1.28
0.84,0.21,-0.53,-1.28,-11.54,-0.18
0.83,0.21,-0.48,-0.85,-9.52,0.18
0.83,0.21,-0.44,0.18,-5.37,0.0
0.83,0.21,-0.43,0.18,-4.15,-0.49
0.84,0.21,-0.44,-0.31,-2.01,-1.04
0.86,0.21,-0.47,-0.49,-0.73,-1.16
0.87,0.21,-0.48,-0.61,-0.43,-0.79
