ax,ay,az,gx,gy,gz
0.99,0.19,0.11,0.49,0.55,-0.24
0.99,0.19,0.11,0.61,0.18,-0.43
0.98,0.19,0.11,0.18,0.31,0.06
0.98,0.19,0.12,-0.06,0.79,0.43
0.99,0.19,0.12,-0.06,1.1,0.67
0.99,0.19,0.11,0.31,0.37,0.49
0.98,0.19,0.11,0.24,-0.18,0.43
0.98,0.19,0.1,-0.06,0.06,0.85
0.98,0.19,0.11,-0.12,0.67,0.98
0.97,0.19,0.11,0.06,0.92,0.67
0.97,0.19,0.11,0.31,0.67,0.37
0.98,0.19,0.11,0.37,0.24,0.18
0.98,0.18,0.11,0.43,0.06,0.12
0.98,0.18,0.11,0.31,-0.24,-0.31
0.98,0.19,0.11,0.31,-0.37,-0.49
0.98,0.19,0.11,0.31,-0.43,-0.37
0.98,0.19,0.11,0.37,0.49,-0.24
0.98,0.19,0.11,0.43,0.92,-0.31
0.98,0.19,0.11,0.49,0.43,-0.18
0.98,0.19,0.11,0.55,-0.31,-0.18
0.98,0.19,0.11,0.49,-0.92,-0.31
0.98,0.19,0.11,0.37,-0.49,0.0
0.98,0.19,0.11,0.18,0.24,0.43
0.98,0.19,0.11,0.18,0.24,0.67
0.98,0.19,0.11,0.31,-0.61,0.37
0.98,0.19,0.11,0.37,-1.16,0.43
0.98,0.19,0.11,0.31,-0.79,0.73
0.98,0.19,0.11,0.18,-0.43,0.85
0.98,0.19,0.11,0.37,-0.79,0.18
0.97,0.19,0.11,0.49,-0.98,-0.12
0.97,0.19,0.11,0.37,-0.37,0.24
0.97,0.19,0.11,0.31,0.43,0.31
0.98,0.18,0.11,0.37,1.1,-0.06
0.98,0.18,0.11,0.24,0.67,-0.55
0.98,0.19,0.11,0.37,-0.12,-0.37
0.98,0.19,0.11,0.55,-0.61,-0.61
0.98,0.19,0.11,0.49,-0.06,-0.61
0.98,0.19,0.11,0.37,0.55,-0.24
0.99,0.19,0.11,0.43,0.92,0.37
0.99,0.19,0.11,0.43,0.55,0.12
0.98,0.19,0.11,0.37,-0.06,0.06
0.98,0.19,0.11,0.31,-0.73,0.92
0.97,0.19,0.11,0.24,-0.24,1.22
0.97,0.19,0.11,0.12,1.04,0.61
0.98,0.19,0.11,0.18,1.1,0.18
0.98,0.18,0.11,0.31,0.79,-0.12
0.98,0.18,0.11,0.55,0.0,-0.31
0.98,0.18,0.11,0.55,-0.18,-0.18
0.98,0.19,0.11,0.43,0.24,-0.06
0.98,0.19,0.11,0.37,0.61,-0.24
0.98,0.19,0.11,0.37,0.55,-0.55
0.98,0.19,0.12,0.37,-0.12,-0.85
0.98,0.19,0.11,0.31,0.06,-0.79
0.98,0.19,0.11,-0.06,1.22,0.0
0.99,0.19,0.11,-0.06,1.1,0.18
0.98,0.2,0.13,0.61,-0.43,-0.06
0.96,0.21,0.13,5.86,-5.92,-2.08
0.98,0.18,0.07,2.38,-8.54,-3.78
1.03,0.17,0.1,-7.14,-10.44,-4.82
1.04,0.19,0.17,-12.82,-9.16,4.09
0.95,0.2,0.12,-2.38,-2.99,9.52
1.01,0.16,0.1,8.3,7.69,5.8
1.09,0.19,0.08,2.75,3.42,0.37
1.01,0.2,0.09,0.37,-13.37,-2.99
0.96,0.19,0.11,5.25,-41.02,-0.18
0.9,0.2,0.13,4.64,-30.46,0.06
0.91,0.21,0.13,3.48,8.79,6.29
0.98,0.18,0.14,4.09,17.94,7.75
0.99,0.17,0.15,4.52,16.72,4.88
0.99,0.17,0.16,3.36,1.22,-4.46
0.97,0.19,0.16,2.14,-4.21,-4.88
0.96,0.19,0.14,1.16,-6.71,-2.44
0.95,0.18,0.14,0.06,-7.2,0.85
0.95,0.17,0.13,-0.79,-5.43,-1.1
0.96,0.17,0.14,-2.81,1.89,-9.34
1.02,0.19,0.18,-3.23,5.74,-11.9
1.04,0.2,0.18,-3.36,7.2,-11.47
1.03,0.21,0.16,-0.55,1.65,-3.48
0.99,0.19,0.06,3.72,-4.88,-0.98
0.99,0.18,0.05,9.09,-9.64,1.83
0.97,0.19,0.11,5.62,-0.85,4.52
0.98,0.18,0.14,-2.56,10.68,9.46
1.0,0.18,0.15,-0.12,0.24,4.39
0.99,0.19,0.16,1.28,-3.66,1.59
0.98,0.2,0.16,0.92,-1.53,5.62
0.96,0.2,0.16,0.06,1.22,8.18
0.96,0.2,0.16,-0.24,2.5,8.0
0.97,0.2,0.15,0.37,-0.67,2.56
0.96,0.2,0.14,0.43,-2.32,0.92
0.95,0.2,0.13,-0.12,-2.81,0.67
0.94,0.2,0.13,-1.04,-1.77,1.83
0.94,0.19,0.12,-0.55,-0.79,1.46
0.96,0.19,0.12,0.55,1.04,-0.73
0.98,0.19,0.13,0.43,1.22,-1.16
0.98,0.19,0.13,0.0,0.67,-0.73
0.98,0.19,0.13,-0.06,0.61,-0.73
0.98,0.19,0.14,-0.12,0.49,-0.67
0.98,0.19,0.14,-0.06,0.49,-0.24
0.98,0.19,0.13,0.06,0.85,-0.37
0.98,0.19,0.13,0.24,1.22,-0.61
0.98,0.2,0.13,0.31,0.55,-0.49
0.98,0.2,0.13,0.24,-0.61,0.0
0.98,0.2,0.13,0.12,-0.92,0.43
0.97,0.2,0.13,0.0,0.43,0.43
0.97,0.2,0.14,0.0,1.77,0.49
0.97,0.19,0.14,0.24,2.08,0.43
0.98,0.19,0.14,0.31,1.04,0.18
0.99,0.2,0.14,0.79,-1.59,0.06
0.98,0.21,0.14,1.89,-2.69,0.24
0.97,0.21,0.14,3.11,-2.99,0.31
0.97,0.21,0.13,0.37,-1.4,-1.65
0.97,0.2,0.13,-4.7,-3.48,-1.89
0.94,0.21,0.19,-9.7,-6.16,-1.65
0.9,0.2,0.17,2.01,-10.86,-2.87
1.07,0.13,0.16,11.05,-18.25,-0.49
1.16,0.17,0.13,3.23,-26.31,-1.77
0.95,0.21,0.1,1.46,-34.18,-4.94
0.92,0.2,0.13,6.47,-30.03,-2.87
0.94,0.21,0.17,5.43,-10.44,-0.06
0.98,0.21,0.18,4.27,10.74,5.31
1.0,0.2,0.19,4.27,23.13,7.63
0.98,0.19,0.18,4.94,15.69,2.87
0.97,0.18,0.18,4.88,6.71,-1.65
0.96,0.19,0.16,1.83,-0.18,1.46
0.93,0.18,0.14,0.61,3.97,5.49
0.94,0.18,0.16,0.0,16.54,5.25
0.96,0.18,0.2,-0.67,20.26,3.05
0.95,0.18,0.22,-2.32,22.52,0.92
0.97,0.19,0.23,-5.25,21.85,-4.94
1.07,0.2,0.17,-5.37,13.0,-8.3
1.04,0.21,0.1,-4.27,-4.58,-8.79
