0.66,0.76,0.16,3.36,-16.66,0.85
0.65,0.76,0.15,2.44,-21.48,1.04
0.61,0.77,0.14,3.05,-20.08,1.34
0.51,0.79,0.13,4.7,-8.06,2.44
0.49,0.79,0.12,7.39,10.86,4.58
0.49,0.79,0.12,15.08,59.27,10.74
0.55,0.78,0.11,17.52,82.09,13.31
0.62,0.77,0.1,17.7,96.07,15.01
0.67,0.76,0.1,16.36,92.9,16.54
0.62,0.78,0.07,17.58,91.25,17.58
0.57,0.79,0.05,21.24,117.86,23.62
0.48,0.8,0.02,23.44,139.47,26.31
0.48,0.8,0.01,26.18,159.36,27.47
0.53,0.8,-0.01,30.33,183.59,28.87
0.69,0.79,-0.04,29.97,184.39,30.94
0.72,0.79,-0.05,25.45,164.73,32.35
0.73,0.8,-0.05,21.79,146.91,30.82
0.71,0.8,-0.03,14.04,105.83,27.1
0.56,0.82,0.0,12.76,92.83,25.57
0.47,0.83,-0.01,13.37,97.53,22.64
0.41,0.83,-0.07,15.01,111.33,21.18
0.42,0.83,-0.1,16.97,127.62,20.63
0.43,0.85,-0.12,18.25,156.62,21.06
0.52,0.85,-0.13,17.21,162.84,21.12
0.61,0.84,-0.11,10.99,141.48,20.75
0.66,0.85,-0.1,9.58,118.65,20.81
0.58,0.84,-0.13,9.03,87.65,21.67
0.42,0.83,-0.19,6.71,88.93,20.94
0.4,0.84,-0.2,3.78,112.73,18.92
0.42,0.86,-0.22,3.6,123.78,19.59
