0.64,0.74,0.03,5.31,11.78,1.04
0.67,0.74,0.01,5.8,13.55,1.83
0.69,0.74,-0.0,6.04,2.69,0.0
0.63,0.76,0.06,5.86,-2.87,-0.98
0.61,0.76,0.1,4.7,3.17,-0.61
0.65,0.75,0.1,4.33,10.31,0.24
0.67,0.74,0.06,3.72,13.67,0.92
0.65,0.75,-0.0,3.54,10.56,0.49
0.66,0.76,0.01,3.78,6.04,0.43
0.67,0.75,0.07,3.54,4.7,0.73
0.67,0.74,0.08,3.78,3.48,0.67
0.66,0.74,0.06,4.58,2.01,0.43
0.65,0.74,0.05,4.39,1.34,0.61
0.65,0.75,0.05,3.48,0.18,-0.31
0.65,0.75,0.04,2.93,0.43,-0.31
0.65,0.75,0.04,3.3,0.24,0.49
0.65,0.75,0.06,2.99,-0.98,0.49
0.65,0.75,0.07,2.5,-1.46,0.12
0.66,0.75,0.08,2.93,1.28,0.73
0.67,0.74,0.06,3.17,1.71,1.28
0.66,0.74,0.05,1.71,-0.61,1.16
0.65,0.75,0.05,0.98,-0.92,1.28
0.65,0.75,0.06,0.61,-0.85,1.34
0.64,0.74,0.06,0.67,0.37,0.49
0.64,0.75,0.08,0.67,2.2,0.43
0.64,0.75,0.09,0.24,6.04,0.79
0.65,0.75,0.07,0.18,6.41,0.67
0.65,0.75,0.05,0.12,5.13,0.43
0.65,0.76,0.04,1.04,1.83,-0.43
0.64,0.76,0.05,2.32,2.99,0.24
