0.54,0.81,0.05,13.31,42.24,-2.08
0.5,0.82,0.03,12.88,47.61,-1.59
0.5,0.82,0.03,13.61,66.71,-0.31
0.53,0.81,0.04,13.18,78.43,0.92
0.55,0.81,0.04,11.35,88.38,1.95
0.57,0.81,0.04,7.02,98.08,2.56
0.56,0.79,-0.01,5.92,98.63,2.01
0.57,0.78,-0.04,2.99,87.71,-0.55
0.6,0.81,-0.05,2.01,80.51,-0.31
0.62,0.82,-0.02,1.53,77.39,1.83
0.64,0.82,0.01,-2.44,74.58,7.26
0.59,0.82,0.01,-4.33,70.62,8.91
0.56,0.82,-0.02,-4.09,69.52,10.62
0.51,0.82,-0.12,-3.05,76.78,11.54
0.5,0.82,-0.16,-1.89,86.24,13.24
0.51,0.82,-0.17,-0.98,96.07,16.42
0.52,0.83,-0.16,-1.53,96.74,17.15
0.53,0.83,-0.15,-2.87,99.3,21.0
0.56,0.83,-0.16,-3.85,100.04,23.19
0.57,0.83,-0.16,-6.04,91.92,24.54
0.53,0.85,-0.19,-6.77,84.47,23.86
0.51,0.86,-0.21,-6.77,78.37,23.13
0.49,0.86,-0.23,-5.25,72.33,23.86
0.46,0.87,-0.25,-4.58,71.04,24.54
0.43,0.86,-0.26,-2.44,71.78,25.63
0.42,0.86,-0.26,-1.4,73.43,26.31
0.41,0.86,-0.27,0.18,77.27,27.28
0.37,0.85,-0.28,0.55,79.59,27.22
0.36,0.86,-0.28,1.1,85.33,25.63
0.35,0.87,-0.28,1.04,86.85,24.96
